sample_id	group	workflow	name	count	level	classification_status
HMP_sample_0	HMP	MetaWRAP	p__Actinomycetota	3	phylum	classified
HMP_sample_0	HMP	MetaWRAP	p__Bacillota	6	phylum	classified
HMP_sample_0	HMP	MetaWRAP	p__Bacteroidota	3	phylum	classified
HMP_sample_0	HMP	MetaWRAP	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_0	HMP	MetaWRAP	p__Pseudomonadota	3	phylum	classified
HMP_sample_0	HMP	MetaWRAP	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Actinomycetota	3	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Bacillota	11	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Bacteroidota	4	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Desulfobacterota_I	2	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Pseudomonadota	7	phylum	classified
HMP_sample_0	HMP	MetaflowX	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Actinomycetota	2	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Bacillota	10	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Bacteroidota	5	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Pseudomonadota	7	phylum	classified
HMP_sample_0	HMP	nf-mag	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_1	HMP	MetaWRAP	p__Actinomycetota	1	phylum	classified
HMP_sample_1	HMP	MetaWRAP	p__Bacillota	9	phylum	classified
HMP_sample_1	HMP	MetaWRAP	p__Bacteroidota	7	phylum	classified
HMP_sample_1	HMP	MetaWRAP	p__Pseudomonadota	4	phylum	classified
HMP_sample_1	HMP	MetaWRAP	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_1	HMP	MetaflowX	p__Actinomycetota	1	phylum	classified
HMP_sample_1	HMP	MetaflowX	p__Bacillota	16	phylum	classified
HMP_sample_1	HMP	MetaflowX	p__Bacteroidota	6	phylum	classified
HMP_sample_1	HMP	MetaflowX	p__Pseudomonadota	6	phylum	classified
HMP_sample_1	HMP	MetaflowX	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_1	HMP	nf-mag	p__Actinomycetota	1	phylum	classified
HMP_sample_1	HMP	nf-mag	p__Bacillota	19	phylum	classified
HMP_sample_1	HMP	nf-mag	p__Bacteroidota	7	phylum	classified
HMP_sample_1	HMP	nf-mag	p__Pseudomonadota	6	phylum	classified
HMP_sample_1	HMP	nf-mag	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_2	HMP	MetaWRAP	p__Bacillota	7	phylum	classified
HMP_sample_2	HMP	MetaWRAP	p__Bacteroidota	2	phylum	classified
HMP_sample_2	HMP	MetaWRAP	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_2	HMP	MetaWRAP	p__Pseudomonadota	1	phylum	classified
HMP_sample_2	HMP	MetaflowX	p__Bacillota	13	phylum	classified
HMP_sample_2	HMP	MetaflowX	p__Bacteroidota	4	phylum	classified
HMP_sample_2	HMP	MetaflowX	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_2	HMP	MetaflowX	p__Pseudomonadota	2	phylum	classified
HMP_sample_2	HMP	nf-mag	p__Bacillota	14	phylum	classified
HMP_sample_2	HMP	nf-mag	p__Bacteroidota	5	phylum	classified
HMP_sample_2	HMP	nf-mag	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_2	HMP	nf-mag	p__Pseudomonadota	2	phylum	classified
HMP_sample_3	HMP	MetaWRAP	p__Actinomycetota	4	phylum	classified
HMP_sample_3	HMP	MetaWRAP	p__Bacillota	12	phylum	classified
HMP_sample_3	HMP	MetaWRAP	p__Bacteroidota	5	phylum	classified
HMP_sample_3	HMP	MetaWRAP	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_3	HMP	MetaWRAP	p__Pseudomonadota	5	phylum	classified
HMP_sample_3	HMP	MetaflowX	p__Actinomycetota	4	phylum	classified
HMP_sample_3	HMP	MetaflowX	p__Bacillota	20	phylum	classified
HMP_sample_3	HMP	MetaflowX	p__Bacteroidota	7	phylum	classified
HMP_sample_3	HMP	MetaflowX	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_3	HMP	MetaflowX	p__Pseudomonadota	5	phylum	classified
HMP_sample_3	HMP	nf-mag	p__Actinomycetota	4	phylum	classified
HMP_sample_3	HMP	nf-mag	p__Bacillota	20	phylum	classified
HMP_sample_3	HMP	nf-mag	p__Bacteroidota	7	phylum	classified
HMP_sample_3	HMP	nf-mag	p__Desulfobacterota_I	1	phylum	classified
HMP_sample_3	HMP	nf-mag	p__Pseudomonadota	5	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Actinomycetota	5	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Bacillota	15	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Bacteroidota	1	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Desulfobacterota_I	2	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Pseudomonadota	3	phylum	classified
HMP_sample_4	HMP	MetaWRAP	p__Verrucomicrobiota	3	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Actinomycetota	5	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Bacillota	24	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Bacteroidota	1	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Desulfobacterota_I	2	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Pseudomonadota	4	phylum	classified
HMP_sample_4	HMP	MetaflowX	p__Verrucomicrobiota	2	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Actinomycetota	5	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Bacillota	22	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Bacteroidota	1	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Desulfobacterota_I	2	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Pseudomonadota	4	phylum	classified
HMP_sample_4	HMP	nf-mag	p__Verrucomicrobiota	3	phylum	classified
HMP_sample_5	HMP	MetaWRAP	p__Bacillota	6	phylum	classified
HMP_sample_5	HMP	MetaWRAP	p__Bacteroidota	3	phylum	classified
HMP_sample_5	HMP	MetaWRAP	p__Pseudomonadota	4	phylum	classified
HMP_sample_5	HMP	MetaWRAP	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_5	HMP	MetaflowX	p__Bacillota	10	phylum	classified
HMP_sample_5	HMP	MetaflowX	p__Bacteroidota	3	phylum	classified
HMP_sample_5	HMP	MetaflowX	p__Pseudomonadota	4	phylum	classified
HMP_sample_5	HMP	MetaflowX	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_5	HMP	nf-mag	p__Bacillota	10	phylum	classified
HMP_sample_5	HMP	nf-mag	p__Bacteroidota	3	phylum	classified
HMP_sample_5	HMP	nf-mag	p__Pseudomonadota	4	phylum	classified
HMP_sample_5	HMP	nf-mag	p__Verrucomicrobiota	1	phylum	classified
HMP_sample_6	HMP	MetaWRAP	p__Actinomycetota	2	phylum	classified
HMP_sample_6	HMP	MetaWRAP	p__Bacillota	10	phylum	classified
HMP_sample_6	HMP	MetaWRAP	p__Bacteroidota	10	phylum	classified
HMP_sample_6	HMP	MetaWRAP	p__Pseudomonadota	6	phylum	classified
HMP_sample_6	HMP	MetaflowX	p__Actinomycetota	2	phylum	classified
HMP_sample_6	HMP	MetaflowX	p__Bacillota	16	phylum	classified
HMP_sample_6	HMP	MetaflowX	p__Bacteroidota	10	phylum	classified
