sample_id	workflow	bin_quality	Bins_Count
HMP_sample_0	MetaWRAP	HQ	10
HMP_sample_0	MetaflowX	HQ	14
HMP_sample_0	nf-mag	HQ	15
HMP_sample_1	MetaWRAP	HQ	14
HMP_sample_1	MetaflowX	HQ	20
HMP_sample_1	nf-mag	HQ	17
HMP_sample_2	MetaWRAP	HQ	7
HMP_sample_2	MetaflowX	HQ	12
HMP_sample_2	nf-mag	HQ	11
HMP_sample_3	MetaWRAP	HQ	19
HMP_sample_3	MetaflowX	HQ	31
HMP_sample_3	nf-mag	HQ	32
HMP_sample_4	MetaWRAP	HQ	22
HMP_sample_4	MetaflowX	HQ	31
HMP_sample_4	nf-mag	HQ	30
HMP_sample_5	MetaWRAP	HQ	14
HMP_sample_5	MetaflowX	HQ	18
HMP_sample_5	nf-mag	HQ	17
HMP_sample_6	MetaWRAP	HQ	25
HMP_sample_6	MetaflowX	HQ	35
HMP_sample_6	nf-mag	HQ	31
HMP_sample_7	MetaWRAP	HQ	12
HMP_sample_7	MetaflowX	HQ	14
HMP_sample_7	nf-mag	HQ	8
HMP_sample_8	MetaWRAP	HQ	9
HMP_sample_8	MetaflowX	HQ	16
HMP_sample_8	nf-mag	HQ	13
HMP_sample_9	MetaWRAP	HQ	15
HMP_sample_9	MetaflowX	HQ	26
HMP_sample_9	nf-mag	HQ	22
MG_sample_0	MetaWRAP	HQ	11
MG_sample_0	MetaflowX	HQ	11
MG_sample_0	nf-mag	HQ	13
MG_sample_1	MetaWRAP	HQ	15
MG_sample_1	MetaflowX	HQ	14
MG_sample_1	nf-mag	HQ	16
MG_sample_10	MetaWRAP	HQ	24
MG_sample_10	MetaflowX	HQ	26
MG_sample_10	nf-mag	HQ	22
MG_sample_11	MetaWRAP	HQ	28
MG_sample_11	MetaflowX	HQ	27
MG_sample_11	nf-mag	HQ	26
MG_sample_2	MetaWRAP	HQ	25
MG_sample_2	MetaflowX	HQ	24
MG_sample_2	nf-mag	HQ	16
MG_sample_5	MetaWRAP	HQ	16
MG_sample_5	MetaflowX	HQ	18
MG_sample_5	nf-mag	HQ	20
MG_sample_6	MetaWRAP	HQ	15
MG_sample_6	MetaflowX	HQ	20
MG_sample_6	nf-mag	HQ	20
MG_sample_7	MetaWRAP	HQ	20
MG_sample_7	MetaflowX	HQ	17
MG_sample_7	nf-mag	HQ	18
MG_sample_8	MetaWRAP	HQ	10
MG_sample_8	MetaflowX	HQ	10
MG_sample_8	nf-mag	HQ	10
MG_sample_9	MetaWRAP	HQ	14
MG_sample_9	MetaflowX	HQ	14
MG_sample_9	nf-mag	HQ	14
Plant_sample_0	MetaWRAP	HQ	14
Plant_sample_0	MetaflowX	HQ	18
Plant_sample_0	nf-mag	HQ	22
Plant_sample_1	MetaWRAP	HQ	16
Plant_sample_1	MetaflowX	HQ	16
Plant_sample_1	nf-mag	HQ	20
Plant_sample_2	MetaWRAP	HQ	17
Plant_sample_2	MetaflowX	HQ	17
Plant_sample_2	nf-mag	HQ	22
Plant_sample_3	MetaWRAP	HQ	14
Plant_sample_3	MetaflowX	HQ	17
Plant_sample_3	nf-mag	HQ	19
Plant_sample_4	MetaWRAP	HQ	16
Plant_sample_4	MetaflowX	HQ	17
Plant_sample_4	nf-mag	HQ	19
Plant_sample_5	MetaWRAP	HQ	13
Plant_sample_5	MetaflowX	HQ	14
Plant_sample_5	nf-mag	HQ	14
Plant_sample_6	MetaWRAP	HQ	13
Plant_sample_6	MetaflowX	HQ	15
Plant_sample_6	nf-mag	HQ	18
Plant_sample_7	MetaWRAP	HQ	11
Plant_sample_7	MetaflowX	HQ	15
Plant_sample_7	nf-mag	HQ	18
Plant_sample_8	MetaWRAP	HQ	10
Plant_sample_8	MetaflowX	HQ	12
Plant_sample_8	nf-mag	HQ	14
Plant_sample_9	MetaWRAP	HQ	13
Plant_sample_9	MetaflowX	HQ	15
Plant_sample_9	nf-mag	HQ	17
marine_sample_0	MetaWRAP	HQ	33
marine_sample_0	MetaflowX	HQ	37
marine_sample_0	nf-mag	HQ	40
marine_sample_1	MetaWRAP	HQ	37
marine_sample_1	MetaflowX	HQ	42
marine_sample_1	nf-mag	HQ	45
marine_sample_2	MetaWRAP	HQ	30
marine_sample_2	MetaflowX	HQ	36
marine_sample_2	nf-mag	HQ	39
marine_sample_3	MetaWRAP	HQ	34
marine_sample_3	MetaflowX	HQ	38
marine_sample_3	nf-mag	HQ	40
marine_sample_4	MetaWRAP	HQ	35
marine_sample_4	MetaflowX	HQ	43
marine_sample_4	nf-mag	HQ	42
marine_sample_5	MetaWRAP	HQ	40
marine_sample_5	MetaflowX	HQ	39
marine_sample_5	nf-mag	HQ	42
marine_sample_6	MetaWRAP	HQ	32
marine_sample_6	MetaflowX	HQ	42
marine_sample_6	nf-mag	HQ	43
marine_sample_7	MetaWRAP	HQ	38
marine_sample_7	MetaflowX	HQ	42
marine_sample_7	nf-mag	HQ	44
marine_sample_8	MetaWRAP	HQ	26
marine_sample_8	MetaflowX	HQ	30
marine_sample_8	nf-mag	HQ	33
marine_sample_9	MetaWRAP	HQ	35
marine_sample_9	MetaflowX	HQ	40
marine_sample_9	nf-mag	HQ	40
