sample_id	workflow	bin_quality	Bins_Count
HMP_sample_0	MetaWRAP	MQ	7
HMP_sample_0	MetaflowX	MQ	14
HMP_sample_0	nf-mag	MQ	8
HMP_sample_1	MetaWRAP	MQ	8
HMP_sample_1	MetaflowX	MQ	10
HMP_sample_1	nf-mag	MQ	12
HMP_sample_2	MetaWRAP	MQ	4
HMP_sample_2	MetaflowX	MQ	8
HMP_sample_2	nf-mag	MQ	8
HMP_sample_3	MetaWRAP	MQ	8
HMP_sample_3	MetaflowX	MQ	6
HMP_sample_3	nf-mag	MQ	4
HMP_sample_4	MetaWRAP	MQ	7
HMP_sample_4	MetaflowX	MQ	7
HMP_sample_4	nf-mag	MQ	6
HMP_sample_6	MetaWRAP	MQ	3
HMP_sample_6	MetaflowX	MQ	4
HMP_sample_6	nf-mag	MQ	5
HMP_sample_7	MetaWRAP	MQ	3
HMP_sample_7	MetaflowX	MQ	6
HMP_sample_7	nf-mag	MQ	4
HMP_sample_8	MetaWRAP	MQ	6
HMP_sample_8	MetaflowX	MQ	8
HMP_sample_8	nf-mag	MQ	4
HMP_sample_9	MetaWRAP	MQ	6
HMP_sample_9	MetaflowX	MQ	9
HMP_sample_9	nf-mag	MQ	5
MG_sample_0	MetaWRAP	MQ	5
MG_sample_0	MetaflowX	MQ	6
MG_sample_0	nf-mag	MQ	3
MG_sample_1	MetaWRAP	MQ	8
MG_sample_1	MetaflowX	MQ	10
MG_sample_1	nf-mag	MQ	6
MG_sample_10	MetaWRAP	MQ	9
MG_sample_10	MetaflowX	MQ	9
MG_sample_10	nf-mag	MQ	10
MG_sample_11	MetaWRAP	MQ	12
MG_sample_11	MetaflowX	MQ	16
MG_sample_11	nf-mag	MQ	16
MG_sample_2	MetaWRAP	MQ	4
MG_sample_2	MetaflowX	MQ	5
MG_sample_2	nf-mag	MQ	7
MG_sample_5	MetaWRAP	MQ	13
MG_sample_5	MetaflowX	MQ	12
MG_sample_5	nf-mag	MQ	9
MG_sample_6	MetaWRAP	MQ	18
MG_sample_6	MetaflowX	MQ	15
MG_sample_6	nf-mag	MQ	15
MG_sample_7	MetaWRAP	MQ	7
MG_sample_7	MetaflowX	MQ	10
MG_sample_7	nf-mag	MQ	6
MG_sample_8	MetaWRAP	MQ	3
MG_sample_8	MetaflowX	MQ	5
MG_sample_8	nf-mag	MQ	2
MG_sample_9	MetaWRAP	MQ	7
MG_sample_9	MetaflowX	MQ	9
MG_sample_9	nf-mag	MQ	8
Plant_sample_0	MetaWRAP	MQ	5
Plant_sample_0	MetaflowX	MQ	12
Plant_sample_0	nf-mag	MQ	9
Plant_sample_1	MetaWRAP	MQ	9
Plant_sample_1	MetaflowX	MQ	10
Plant_sample_1	nf-mag	MQ	6
Plant_sample_2	MetaWRAP	MQ	7
Plant_sample_2	MetaflowX	MQ	11
Plant_sample_2	nf-mag	MQ	7
Plant_sample_3	MetaWRAP	MQ	10
Plant_sample_3	MetaflowX	MQ	11
Plant_sample_3	nf-mag	MQ	7
Plant_sample_4	MetaWRAP	MQ	5
Plant_sample_4	MetaflowX	MQ	9
Plant_sample_4	nf-mag	MQ	8
Plant_sample_5	MetaWRAP	MQ	9
Plant_sample_5	MetaflowX	MQ	9
Plant_sample_5	nf-mag	MQ	11
Plant_sample_6	MetaWRAP	MQ	6
Plant_sample_6	MetaflowX	MQ	7
Plant_sample_6	nf-mag	MQ	5
Plant_sample_7	MetaWRAP	MQ	7
Plant_sample_7	MetaflowX	MQ	10
Plant_sample_7	nf-mag	MQ	6
Plant_sample_8	MetaWRAP	MQ	5
Plant_sample_8	MetaflowX	MQ	7
Plant_sample_8	nf-mag	MQ	4
Plant_sample_9	MetaWRAP	MQ	2
Plant_sample_9	MetaflowX	MQ	5
Plant_sample_9	nf-mag	MQ	3
marine_sample_0	MetaWRAP	MQ	16
marine_sample_0	MetaflowX	MQ	26
marine_sample_0	nf-mag	MQ	17
marine_sample_1	MetaWRAP	MQ	15
marine_sample_1	MetaflowX	MQ	30
marine_sample_1	nf-mag	MQ	23
marine_sample_2	MetaWRAP	MQ	27
marine_sample_2	MetaflowX	MQ	34
marine_sample_2	nf-mag	MQ	32
marine_sample_3	MetaWRAP	MQ	23
marine_sample_3	MetaflowX	MQ	31
marine_sample_3	nf-mag	MQ	26
marine_sample_4	MetaWRAP	MQ	13
marine_sample_4	MetaflowX	MQ	18
marine_sample_4	nf-mag	MQ	14
marine_sample_5	MetaWRAP	MQ	16
marine_sample_5	MetaflowX	MQ	21
marine_sample_5	nf-mag	MQ	14
marine_sample_6	MetaWRAP	MQ	26
marine_sample_6	MetaflowX	MQ	32
marine_sample_6	nf-mag	MQ	28
marine_sample_7	MetaWRAP	MQ	18
marine_sample_7	MetaflowX	MQ	26
marine_sample_7	nf-mag	MQ	22
marine_sample_8	MetaWRAP	MQ	25
marine_sample_8	MetaflowX	MQ	31
marine_sample_8	nf-mag	MQ	26
marine_sample_9	MetaWRAP	MQ	23
marine_sample_9	MetaflowX	MQ	30
marine_sample_9	nf-mag	MQ	26
