workflow	bin_quality	group	Completeness_Mean	Completeness_Median	Completeness_SD	Completeness_Min	Completeness_Max	Contamination_Mean	Contamination_Median	Contamination_SD	Contamination_Min	Contamination_Max	QS_Mean	QS_Median	QS_SD	QS_Min	QS_Max
MetaflowX	HQ	HMP	99.25133640553	99.99	1.97522046641306	90.47	100	0.856543778801843	0.48	0.898756104996783	0	4.9	94.9686175115207	96.95	5.28029082797768	70.3	100
MetaflowX	HQ	MG	98.8643093922652	99.89	2.2023336595959	90.02	100	0.725138121546961	0.4	0.866487550551591	0	4.94	95.2386187845304	97.21	5.1637192424626	69.49	99.95
MetaflowX	HQ	Plant	98.8608333333333	99.98	2.23427175357368	90.27	100	0.604551282051282	0.27	0.812275452205968	0	4.46	95.8380769230769	97.67	4.62751659384412	74.78	100
MetaflowX	HQ	marine	98.8364524421594	99.98	2.4776945679579	90.08	100	0.669228791773779	0.37	0.838523752864134	0	4.47	95.4903084832905	97.1	5.55355355795617	70	100
MetaflowX	MQ	HMP	72.1759722222222	75.62	13.8434680442502	50.71	100	2.53736111111111	1.595	2.66298942102565	0	9.97	59.4891666666667	64.435	21.3705209457551	2.5	86.68
MetaflowX	MQ	MG	75.1192783505155	77.08	12.8023012455625	50.22	100	2.32711340206186	1.77	2.19831846663672	0	9.6	63.4837113402062	64.16	14.2442597590213	10.78	88.99
MetaflowX	MQ	Plant	75.0024175824176	76.84	12.3048281707863	50.43	99.38	1.69021978021978	1	1.9293147764726	0	7.54	66.5513186813187	69.77	15.1931907415271	17.29	87.9
MetaflowX	MQ	marine	70.8498924731183	71.15	12.5033306205627	50.01	100	1.87007168458781	1.09	2.10696327434703	0	9.26	61.4995340501792	62.79	17.2581507007399	6	89.45
nf-mag	HQ	HMP	98.9038265306122	99.98	2.34679905304972	90.49	100	1.03464285714286	0.76	0.99524169207335	0	4.94	93.730612244898	95.43	6.03629217425544	68.34	100
nf-mag	HQ	MG	98.32	99.86	2.51517303625394	90.47	100	1.08874285714286	0.62	1.18908475242098	0	4.96	92.8762857142857	94.94	7.00405247462663	69.38	99.87
nf-mag	HQ	Plant	99.0855191256831	99.99	2.14084727717617	90.5	100	0.997868852459016	0.56	1.10847253791928	0	4.59	94.096174863388	95.8	6.07043299250618	74.68	100
