workflow	level	sample_id	level_count
MetaflowX	species	HMP_sample_0	28
MetaflowX	species	HMP_sample_1	30
MetaflowX	species	HMP_sample_2	20
MetaflowX	species	HMP_sample_3	37
MetaflowX	species	HMP_sample_4	38
MetaflowX	species	HMP_sample_5	18
MetaflowX	species	HMP_sample_6	39
MetaflowX	species	HMP_sample_7	20
MetaflowX	species	HMP_sample_8	24
MetaflowX	species	HMP_sample_9	35
MetaflowX	species	MG_sample_0	17
MetaflowX	species	MG_sample_1	24
MetaflowX	species	MG_sample_10	35
MetaflowX	species	MG_sample_11	43
MetaflowX	species	MG_sample_2	29
MetaflowX	species	MG_sample_5	30
MetaflowX	species	MG_sample_6	35
MetaflowX	species	MG_sample_7	27
MetaflowX	species	MG_sample_8	15
MetaflowX	species	MG_sample_9	23
MetaflowX	species	Plant_sample_0	24
MetaflowX	species	Plant_sample_1	20
MetaflowX	species	Plant_sample_2	24
MetaflowX	species	Plant_sample_3	24
MetaflowX	species	Plant_sample_4	20
MetaflowX	species	Plant_sample_5	19
MetaflowX	species	Plant_sample_6	18
MetaflowX	species	Plant_sample_7	22
MetaflowX	species	Plant_sample_8	17
MetaflowX	species	Plant_sample_9	18
MetaflowX	species	marine_sample_0	60
MetaflowX	species	marine_sample_1	70
MetaflowX	species	marine_sample_2	70
MetaflowX	species	marine_sample_3	67
MetaflowX	species	marine_sample_4	58
MetaflowX	species	marine_sample_5	59
MetaflowX	species	marine_sample_6	70
MetaflowX	species	marine_sample_7	65
MetaflowX	species	marine_sample_8	57
MetaflowX	species	marine_sample_9	67
nf-mag	species	HMP_sample_0	24
nf-mag	species	HMP_sample_1	32
nf-mag	species	HMP_sample_2	19
nf-mag	species	HMP_sample_3	35
nf-mag	species	HMP_sample_4	36
nf-mag	species	HMP_sample_5	18
nf-mag	species	HMP_sample_6	36
nf-mag	species	HMP_sample_7	16
nf-mag	species	HMP_sample_8	20
nf-mag	species	HMP_sample_9	27
nf-mag	species	MG_sample_0	16
nf-mag	species	MG_sample_1	23
nf-mag	species	MG_sample_10	32
nf-mag	species	MG_sample_11	43
nf-mag	species	MG_sample_2	23
nf-mag	species	MG_sample_5	29
nf-mag	species	MG_sample_6	35
nf-mag	species	MG_sample_7	24
nf-mag	species	MG_sample_8	13
nf-mag	species	MG_sample_9	22
nf-mag	species	Plant_sample_0	25
nf-mag	species	Plant_sample_1	20
nf-mag	species	Plant_sample_2	25
nf-mag	species	Plant_sample_3	21
nf-mag	species	Plant_sample_4	21
nf-mag	species	Plant_sample_5	21
nf-mag	species	Plant_sample_6	19
nf-mag	species	Plant_sample_7	21
nf-mag	species	Plant_sample_8	16
nf-mag	species	Plant_sample_9	19
nf-mag	species	marine_sample_0	56
nf-mag	species	marine_sample_1	74
nf-mag	species	marine_sample_2	73
nf-mag	species	marine_sample_3	68
nf-mag	species	marine_sample_4	59
nf-mag	species	marine_sample_5	59
nf-mag	species	marine_sample_6	72
nf-mag	species	marine_sample_7	66
nf-mag	species	marine_sample_8	62
nf-mag	species	marine_sample_9	68
MetaWRAP	species	HMP_sample_0	17
MetaWRAP	species	HMP_sample_1	22
MetaWRAP	species	HMP_sample_2	11
MetaWRAP	species	HMP_sample_3	27
MetaWRAP	species	HMP_sample_4	28
MetaWRAP	species	HMP_sample_5	14
MetaWRAP	species	HMP_sample_6	26
MetaWRAP	species	HMP_sample_7	13
MetaWRAP	species	HMP_sample_8	15
MetaWRAP	species	HMP_sample_9	22
MetaWRAP	species	MG_sample_0	16
MetaWRAP	species	MG_sample_1	23
MetaWRAP	species	MG_sample_10	32
MetaWRAP	species	MG_sample_11	38
MetaWRAP	species	MG_sample_2	28
MetaWRAP	species	MG_sample_5	30
MetaWRAP	species	MG_sample_6	31
MetaWRAP	species	MG_sample_7	25
MetaWRAP	species	MG_sample_8	13
MetaWRAP	species	MG_sample_9	20
MetaWRAP	species	Plant_sample_0	16
MetaWRAP	species	Plant_sample_1	19
MetaWRAP	species	Plant_sample_2	22
MetaWRAP	species	Plant_sample_3	21
MetaWRAP	species	Plant_sample_4	17
MetaWRAP	species	Plant_sample_5	18
MetaWRAP	species	Plant_sample_6	15
MetaWRAP	species	Plant_sample_7	16
MetaWRAP	species	Plant_sample_8	13
MetaWRAP	species	Plant_sample_9	14
MetaWRAP	species	marine_sample_0	50
MetaWRAP	species	marine_sample_1	52
MetaWRAP	species	marine_sample_2	58
MetaWRAP	species	marine_sample_3	56
MetaWRAP	species	marine_sample_4	49
MetaWRAP	species	marine_sample_5	57
MetaWRAP	species	marine_sample_6	56
MetaWRAP	species	marine_sample_7	54
MetaWRAP	species	marine_sample_8	51
MetaWRAP	species	marine_sample_9	57
