BinID	Init	ReAss	ReBin	ReFine	Final
bin.1	MQ	LQ	MQ	MQ	MQ
bin.4	MQ	HQ	HQ	HQ	HQ
bin.5	MQ	LQ	LQ	LQ	LQ
bin.8	MQ	LQ	HQ	HQ	HQ
bin.10	MQ	LQ	MQ	MQ	MQ
bin.13	MQ	HQ	HQ	HQ	HQ
bin.20	MQ	LQ	LQ	LQ	LQ
bin.29	MQ	LQ	LQ	LQ	LQ
bin.36	MQ	MQ	MQ	MQ	MQ
bin.48	MQ	LQ	HQ	HQ	HQ
bin.53	MQ	MQ	MQ	MQ	MQ
bin.59	MQ	LQ	HQ	HQ	HQ
bin.69	MQ	MQ	HQ	HQ	HQ
bin.70	MQ	LQ	MQ	MQ	MQ
bin.73	MQ	MQ	HQ	HQ	HQ
bin.75	MQ	LQ	LQ	LQ	LQ
bin.78	MQ	LQ	MQ	MQ	MQ
bin.86	MQ	MQ	MQ	MQ	MQ
bin.87	MQ	LQ	LQ	LQ	LQ
bin.88	MQ	MQ	HQ	HQ	HQ
bin.90	MQ	LQ	MQ	MQ	MQ
bin.91	MQ	MQ	MQ	MQ	MQ
bin.93	MQ	LQ	LQ	LQ	LQ
bin.94	MQ	LQ	HQ	HQ	HQ
bin.97	MQ	MQ	MQ	MQ	MQ
bin.101	MQ	LQ	HQ	HQ	HQ
bin.107	MQ	LQ	MQ	MQ	MQ
bin.112	MQ	HQ	HQ	HQ	HQ
bin.114	MQ	MQ	MQ	MQ	MQ
bin.122	MQ	LQ	LQ	LQ	LQ
bin.123	MQ	LQ	LQ	LQ	LQ
bin.132	MQ	LQ	LQ	LQ	LQ
bin.133	MQ	HQ	HQ	HQ	HQ
bin.142	MQ	MQ	MQ	MQ	MQ
bin.150	MQ	LQ	HQ	HQ	HQ
bin.151	MQ	MQ	MQ	MQ	MQ
bin.153	MQ	LQ	LQ	LQ	LQ
bin.166	MQ	LQ	LQ	LQ	LQ
bin.167	MQ	MQ	MQ	MQ	MQ
bin.169	MQ	LQ	LQ	LQ	LQ
bin.171	MQ	LQ	MQ	MQ	MQ
bin.172	MQ	LQ	LQ	LQ	LQ
bin.176	MQ	LQ	LQ	LQ	LQ
bin.178	MQ	LQ	HQ	HQ	HQ
bin.183	MQ	LQ	MQ	MQ	MQ
bin.186	MQ	LQ	HQ	HQ	HQ
bin.192	MQ	LQ	MQ	MQ	MQ
bin.196	MQ	MQ	MQ	MQ	MQ
bin.197	MQ	LQ	MQ	MQ	MQ
bin.198	MQ	LQ	LQ	LQ	LQ
bin.200	MQ	LQ	MQ	MQ	MQ
bin.206	MQ	HQ	HQ	HQ	HQ
bin.208	MQ	MQ	MQ	MQ	MQ
bin.212	MQ	HQ	HQ	HQ	HQ
bin.219	MQ	LQ	LQ	LQ	LQ
bin.222	MQ	LQ	MQ	MQ	MQ
bin.225	MQ	HQ	HQ	HQ	HQ
bin.226	MQ	MQ	MQ	MQ	MQ
bin.227	MQ	MQ	MQ	MQ	MQ
bin.232	MQ	LQ	LQ	LQ	LQ
bin.235	MQ	HQ	HQ	HQ	HQ
bin.240	MQ	MQ	MQ	MQ	MQ
bin.246	MQ	MQ	MQ	MQ	MQ
bin.248	MQ	MQ	MQ	MQ	MQ
bin.249	MQ	LQ	LQ	LQ	LQ
bin.254	MQ	MQ	HQ	HQ	HQ
bin.258	MQ	MQ	MQ	MQ	MQ
bin.260	MQ	LQ	LQ	LQ	LQ
bin.263	MQ	LQ	LQ	HQ	HQ
bin.265	MQ	LQ	LQ	LQ	LQ
bin.268	MQ	LQ	HQ	HQ	HQ
bin.271	MQ	MQ	MQ	MQ	MQ
bin.272	MQ	MQ	MQ	MQ	MQ
bin.274	MQ	LQ	LQ	LQ	LQ
bin.276	MQ	LQ	LQ	LQ	LQ
bin.284	MQ	MQ	MQ	MQ	MQ
bin.285	MQ	LQ	LQ	LQ	LQ
bin.286	MQ	LQ	HQ	HQ	HQ
bin.287	MQ	LQ	HQ	HQ	HQ
bin.289	MQ	LQ	LQ	LQ	LQ
bin.290	MQ	LQ	MQ	MQ	MQ
bin.293	MQ	LQ	LQ	LQ	LQ
bin.294	MQ	LQ	LQ	LQ	LQ
bin.297	MQ	LQ	MQ	MQ	MQ
bin.298	MQ	LQ	LQ	LQ	LQ
bin.299	MQ	LQ	LQ	LQ	LQ
bin.302	MQ	HQ	HQ	HQ	HQ
bin.304	MQ	LQ	LQ	LQ	LQ
bin.305	MQ	MQ	MQ	MQ	MQ
bin.308	MQ	LQ	MQ	MQ	MQ
bin.310	MQ	LQ	LQ	LQ	LQ
bin.311	MQ	MQ	MQ	MQ	MQ
bin.316	MQ	LQ	MQ	MQ	MQ
bin.323	MQ	MQ	MQ	MQ	MQ
bin.324	MQ	MQ	MQ	MQ	MQ
bin.328	MQ	LQ	HQ	HQ	HQ
bin.331	MQ	MQ	MQ	MQ	MQ
bin.332	MQ	LQ	MQ	MQ	MQ
bin.333	MQ	HQ	HQ	HQ	HQ
bin.339	MQ	LQ	MQ	MQ	MQ
bin.340	MQ	LQ	LQ	LQ	LQ
bin.343	MQ	LQ	MQ	MQ	MQ
bin.347	MQ	LQ	MQ	MQ	MQ
bin.348	MQ	MQ	MQ	MQ	MQ
bin.349	MQ	HQ	HQ	HQ	HQ
bin.350	MQ	LQ	LQ	LQ	LQ
bin.353	MQ	HQ	HQ	HQ	HQ
bin.354	MQ	MQ	MQ	MQ	MQ
bin.357	MQ	MQ	MQ	MQ	MQ
bin.359	MQ	HQ	HQ	HQ	HQ
bin.364	MQ	LQ	MQ	MQ	MQ
