BinID	Init	ReAss	ReBin	ReFine	Final
bin.1	MQ	LQ	MQ	MQ	MQ
bin.4	MQ	MQ	MQ	MQ	MQ
bin.5	MQ	LQ	MQ	MQ	MQ
bin.8	MQ	LQ	MQ	MQ	MQ
bin.10	MQ	HQ	HQ	HQ	HQ
bin.13	MQ	MQ	MQ	MQ	MQ
bin.20	MQ	LQ	MQ	MQ	MQ
bin.29	MQ	MQ	MQ	MQ	MQ
bin.36	MQ	MQ	MQ	MQ	MQ
bin.48	MQ	MQ	HQ	HQ	HQ
bin.53	MQ	MQ	MQ	MQ	MQ
bin.59	MQ	HQ	HQ	HQ	HQ
bin.69	MQ	MQ	MQ	MQ	MQ
bin.70	MQ	MQ	MQ	MQ	MQ
bin.73	MQ	MQ	MQ	MQ	MQ
bin.75	MQ	LQ	HQ	HQ	HQ
bin.78	MQ	LQ	LQ	LQ	LQ
bin.86	MQ	LQ	MQ	MQ	MQ
bin.87	MQ	MQ	MQ	MQ	MQ
bin.88	MQ	MQ	MQ	MQ	MQ
bin.90	MQ	LQ	MQ	MQ	MQ
bin.91	MQ	MQ	MQ	MQ	MQ
bin.93	MQ	LQ	HQ	HQ	HQ
bin.94	MQ	LQ	MQ	MQ	MQ
bin.97	MQ	HQ	HQ	HQ	HQ
bin.101	MQ	LQ	LQ	LQ	LQ
bin.107	MQ	MQ	MQ	MQ	MQ
bin.112	MQ	HQ	HQ	HQ	HQ
bin.114	MQ	MQ	MQ	MQ	MQ
bin.122	MQ	LQ	MQ	MQ	MQ
bin.123	MQ	LQ	LQ	MQ	MQ
bin.132	MQ	LQ	LQ	LQ	LQ
bin.133	MQ	MQ	MQ	MQ	MQ
bin.142	MQ	MQ	MQ	MQ	MQ
bin.150	MQ	LQ	LQ	LQ	LQ
bin.151	MQ	LQ	HQ	HQ	HQ
bin.153	MQ	LQ	LQ	LQ	LQ
bin.166	MQ	LQ	HQ	HQ	HQ
bin.167	MQ	LQ	LQ	LQ	LQ
bin.169	MQ	HQ	HQ	HQ	HQ
bin.171	MQ	LQ	MQ	HQ	HQ
bin.172	MQ	MQ	HQ	HQ	HQ
bin.176	MQ	LQ	MQ	MQ	MQ
bin.178	MQ	MQ	LQ	LQ	LQ
bin.183	MQ	MQ	MQ	MQ	MQ
bin.186	MQ	LQ	LQ	LQ	LQ
bin.192	MQ	LQ	LQ	HQ	HQ
bin.196	MQ	LQ	MQ	MQ	MQ
bin.197	MQ	LQ	HQ	HQ	HQ
bin.198	MQ	LQ	MQ	MQ	MQ
bin.200	MQ	LQ	HQ	HQ	HQ
bin.206	MQ	HQ	HQ	HQ	HQ
bin.208	MQ	MQ	MQ	MQ	MQ
bin.212	MQ	HQ	HQ	HQ	HQ
bin.219	MQ	LQ	MQ	MQ	MQ
bin.222	MQ	LQ	HQ	HQ	HQ
bin.225	MQ	HQ	HQ	HQ	HQ
bin.226	MQ	LQ	HQ	HQ	HQ
bin.227	MQ	LQ	LQ	LQ	LQ
bin.232	MQ	LQ	MQ	MQ	MQ
bin.235	MQ	HQ	HQ	HQ	HQ
bin.240	MQ	MQ	HQ	HQ	HQ
bin.246	MQ	LQ	MQ	MQ	MQ
bin.248	MQ	MQ	MQ	MQ	MQ
bin.249	MQ	HQ	HQ	HQ	HQ
bin.254	MQ	MQ	HQ	HQ	HQ
bin.258	MQ	MQ	MQ	MQ	MQ
bin.260	MQ	LQ	LQ	LQ	LQ
bin.263	MQ	LQ	MQ	MQ	MQ
bin.265	MQ	LQ	MQ	MQ	MQ
bin.268	MQ	HQ	HQ	HQ	HQ
bin.271	MQ	MQ	MQ	MQ	MQ
bin.272	MQ	MQ	MQ	MQ	MQ
bin.274	MQ	LQ	HQ	HQ	HQ
bin.276	MQ	MQ	MQ	MQ	MQ
bin.284	MQ	MQ	MQ	MQ	MQ
bin.285	MQ	MQ	MQ	MQ	MQ
bin.286	MQ	MQ	MQ	MQ	MQ
bin.287	MQ	LQ	HQ	HQ	HQ
bin.289	MQ	HQ	HQ	HQ	HQ
bin.290	MQ	MQ	HQ	HQ	HQ
bin.293	MQ	MQ	MQ	MQ	MQ
bin.294	MQ	LQ	HQ	HQ	HQ
bin.297	MQ	HQ	HQ	HQ	HQ
bin.298	MQ	LQ	MQ	MQ	MQ
bin.299	MQ	LQ	MQ	MQ	MQ
bin.302	MQ	MQ	MQ	MQ	MQ
bin.304	MQ	LQ	MQ	MQ	MQ
bin.305	MQ	LQ	HQ	HQ	HQ
bin.308	MQ	LQ	HQ	HQ	HQ
bin.310	MQ	LQ	MQ	MQ	MQ
bin.311	MQ	LQ	HQ	HQ	HQ
bin.316	MQ	LQ	HQ	HQ	HQ
bin.323	MQ	HQ	HQ	HQ	HQ
bin.324	MQ	MQ	MQ	MQ	MQ
bin.328	MQ	HQ	HQ	HQ	HQ
bin.331	MQ	LQ	MQ	MQ	MQ
bin.332	MQ	LQ	MQ	MQ	MQ
bin.333	MQ	HQ	HQ	HQ	HQ
bin.339	MQ	LQ	HQ	HQ	HQ
bin.340	MQ	LQ	HQ	HQ	HQ
bin.343	MQ	MQ	MQ	MQ	MQ
bin.347	MQ	MQ	MQ	MQ	MQ
bin.348	MQ	MQ	MQ	MQ	MQ
bin.349	MQ	HQ	HQ	HQ	HQ
bin.350	MQ	LQ	LQ	LQ	LQ
bin.353	MQ	HQ	HQ	HQ	HQ
bin.354	MQ	LQ	LQ	LQ	LQ
bin.357	MQ	MQ	HQ	HQ	HQ
bin.359	MQ	MQ	MQ	MQ	MQ
bin.364	MQ	LQ	LQ	LQ	LQ
