SampleID	TotalContingLength	TotalContigCount	AvgContingLength	AvgGC
as_sample_10	163116928	15236	10706.0204778157	48.482931735188494
as_sample_11	378902093	27962	13550.607717616766	50.09299463559704
as_sample_12	455340467	37565	12121.402023159857	48.510824919413935
as_sample_13	561988517	45879	12249.362823949956	47.07454750927862
as_sample_14	710721225	46778	15193.493201932532	46.916380230888194
as_sample_15	853725500	62483	13663.324424243394	45.21543000491349
as_sample_16	955435495	63106	15140.16884289925	45.09284819252612
as_sample_17	1197888417	85810	13959.776447966438	44.56995233544644
as_sample_18	1324074903	87557	15122.433420514637	44.545451315789784
as_sample_19	1773847169	151728	11690.967843773067	45.21600799012334
as_sample_1	1957398401	181698	10772.812034254643	45.18669333244637
as_sample_20	2188878794	210735	10386.87827840653	45.12491198753647
as_sample_2	2294567540	214007	10721.927507044162	45.200063454780725
as_sample_3	2431365446	231924	10483.457710284403	45.0406110423461
as_sample_4	2618070834	262049	9990.768268529931	44.904697210536625
as_sample_5	2728247856	262882	10378.222381144391	44.89489047857428
as_sample_6	2780655802	263003	10572.715147735957	44.89187323574683
as_sample_7	2935119362	280929	10447.90449544191	44.76395689255056
as_sample_8	3067716124	293432	10454.606600507102	44.91851423676691
as_sample_9	3179265739	306408	10375.922753322367	44.91800262984117
hg_sample_0	206851743	18676	11075.805472263868	50.01444461016384
hg_sample_10	412156886	21346	19308.38967488054	48.559380764070376
hg_sample_11	576685812	34155	16884.374527887572	47.31283259830084
hg_sample_12	706419546	35171	20085.284637911915	47.21102366035458
hg_sample_13	893067795	57618	15499.805529522024	44.49149744532886
hg_sample_14	1064464608	83269	12783.44411485667	43.1098129092204
hg_sample_15	1247654745	106536	11711.109343320568	42.24050773270294
hg_sample_16	1465804042	128940	11368.109523809524	42.93635488387874
hg_sample_17	1708428366	147323	11596.4809703848	42.751960805920675
hg_sample_18	2001086820	169177	11828.362129603905	42.34207854786565
hg_sample_19	2191690636	194467	11270.24449392442	42.65126430052914
hg_sample_1	2431591687	212907	11420.910007655924	43.055659414608144
hg_sample_2	2594716875	222563	11658.347861055072	42.99004638620246
hg_sample_3	2758870117	229368	12028.138698510691	42.97273304473082
hg_sample_4	2917169061	235608	12381.451652745238	43.02594387152062
hg_sample_5	3011251569	237217	12694.079973189106	42.943401868962965
hg_sample_6	3185344071	242011	13161.980533942671	42.93904621472101
hg_sample_7	3305357549	258949	12764.511733970781	42.73767989373483
hg_sample_8	3464320553	279484	12395.416385195575	42.590286546746405
hg_sample_9	3659480317	283165	12923.490957568909	42.623352326368526
m_sample_0	319796232	41988	7616.37210631609	49.265817404416396
m_sample_1	679616947	89617	7583.571721883125	49.21682817373619
m_sample_2	1017510843	142093	7160.879445152119	49.845144548528914
m_sample_3	1357536443	190960	7109.009441767909	49.699963652855516
m_sample_4	1643983729	223473	7356.520604278817	49.511652329016265
m_sample_5	1940564554	261109	7432.0094443316775	49.05133999090679
m_sample_6	2278777936	306586	7432.752754528909	48.55526737859646
m_sample_7	2599426545	344716	7540.777175994152	48.427239566786135
m_sample_8	2926157317	397822	7355.443683355873	48.43565171281832
m_sample_9	3252870644	439032	7409.188040962846	48.24712717993153
mg_sample_10	111101633	12728	8728.915226272784	42.415960738951355
mg_sample_11	308380410	30962	9959.964149602738	43.88726597963092
mg_sample_12	506195140	51152	9895.901235533313	43.96550510357959
mg_sample_13	595190770	58903	10104.591786496443	43.55395295075715
mg_sample_14	800271966	81680	9797.648947110676	43.846651192552706
mg_sample_15	1010704447	102707	9840.657861684209	43.72354665956466
mg_sample_16	1044041549	105843	9864.058548982928	43.78724740053329
mg_sample_17	1239003128	127144	9744.880828037501	43.94230104108298
mg_sample_18	1296104373	134102	9665.063705239296	44.05157440551022
