sampleID	task	realtime_M	cpu	peak_rss_G
as_sample_6	MaxBin2	18.633333333333333	65.625	0.27744140625
as_sample_5	MaxBin2	22.95	62.69375	2.9
as_sample_12	MaxBin2	24.733333333333334	53.88125	1.5
as_sample_6	MetaBAT2	0.13333333333333333	40.88125	0.05810546875
as_sample_8	MaxBin2	40.21666666666667	44.40625	1.6
as_sample_6	CONCOCT	3.283333333333333	13.95625	0.17880859375
as_sample_9	MaxBin2	31.816666666666666	51.3125	1.6
as_sample_5	MetaBAT2	0.06666666666666667	47.9125	0.11513671875
as_sample_12	MetaBAT2	1.0833333333333333	51.15	0.09453125
as_sample_6	SemiBin2	7.483333333333333	14.425	1.1
as_sample_5	CONCOCT	4.35	23.575	0.246484375
as_sample_3	MaxBin2	28.716666666666665	43.08125	2.3
as_sample_12	SemiBin2	6.45	21.0625	15.9
as_sample_7	MaxBin2	51.18333333333333	47.65625	1.6
as_sample_12	CONCOCT	7.233333333333333	57.1625	0.27578125
as_sample_8	CONCOCT	8.866666666666667	57.46875	0.3419921875
as_sample_8	MetaBAT2	1.4333333333333333	54.7875	0.1609375
as_sample_2	MaxBin2	24.216666666666665	60.0875	1.9
as_sample_18	MaxBin2	34.6	61.11875	1.9
as_sample_5	SemiBin2	11.116666666666667	18.20625	1.6
as_sample_13	MaxBin2	45.75	60.55625	1.5
as_sample_9	MetaBAT2	1.6333333333333333	53.9375	0.15673828125
as_sample_7	MetaBAT2	3.3	53.13125	0.208984375
as_sample_10	MaxBin2	38.25	44.40625	2.4
as_sample_8	SemiBin2	10.283333333333333	27.64375	17.3
as_sample_11	MaxBin2	51.333333333333336	42.8625	1.5
as_sample_6	COMEBin	26.65	40.375	3.9
as_sample_7	SemiBin2	9.633333333333333	24.4375	27.8
as_sample_9	CONCOCT	9.95	59.625	0.30849609375
as_sample_9	SemiBin2	8.533333333333333	23.9875	18.6
as_sample_6	MetaBinner	27.766666666666666	30.2625	2.9
as_sample_14	MaxBin2	47.45	62.35625	2.9
as_sample_4	MaxBin2	49.0	37.46875	1.6
as_sample_7	CONCOCT	19.866666666666667	79.6375	0.35322265625
as_sample_16	MaxBin2	56.483333333333334	68.1375	4.2
as_sample_12	MetaBinner	38.03333333333333	32.0	3.1
as_sample_11	MetaBAT2	1.8833333333333333	53.36875	0.28154296875
as_sample_11	CONCOCT	7.083333333333333	46.35625	0.3
as_sample_1	MaxBin2	60.016666666666666	46.05625	1.5
as_sample_15	MaxBin2	69.26666666666667	58.09375	1.3
as_sample_11	SemiBin2	12.616666666666667	29.7	19.7
as_sample_17	MaxBin2	70.35	45.90625	1.3
as_sample_5	MetaBinner	46.6	32.875	3.7
as_sample_5	COMEBin	55.28333333333333	57.2125	11.6
as_sample_20	MaxBin2	68.25	40.74375	1.7
as_sample_9	MetaBinner	43.96666666666667	38.8125	2.1
as_sample_8	MetaBinner	66.45	30.7875	3.0
as_sample_3	MetaBAT2	4.216666666666667	50.04375	0.19970703125
as_sample_10	MetaBAT2	2.533333333333333	56.175	0.22021484375
as_sample_7	MetaBinner	73.96666666666667	36.2	3.0
as_sample_13	MetaBAT2	0.15	53.8125	0.1205078125
as_sample_18	MetaBAT2	0.016666666666666666	32.65625	0.13701171875
as_sample_3	SemiBin2	10.433333333333334	23.4	27.0
as_sample_10	CONCOCT	10.866666666666667	61.83125	0.3708984375
as_sample_3	CONCOCT	11.933333333333334	60.39375	0.3412109375
as_sample_11	MetaBinner	73.3	39.8875	2.8
as_sample_14	MetaBAT2	0.06666666666666667	50.2625	0.15
as_sample_18	CONCOCT	4.3	22.2	0.259765625
as_sample_13	CONCOCT	6.0	41.66875	0.27880859375
as_sample_2	MetaBAT2	0.26666666666666666	50.55625	0.11494140625
as_sample_4	MetaBAT2	7.9	57.025	0.28115234375
as_sample_10	SemiBin2	11.85	27.6625	24.0
as_sample_13	SemiBin2	8.35	23.7875	13.4
as_sample_18	SemiBin2	7.866666666666667	25.18125	1.7
as_sample_4	SemiBin2	11.25	26.5125	58.3
as_sample_2	CONCOCT	4.333333333333333	28.26875	0.256640625
as_sample_16	MetaBAT2	0.11666666666666667	54.74375	0.10673828125
as_sample_15	MetaBAT2	2.4166666666666665	54.20625	0.2
as_sample_14	CONCOCT	9.283333333333333	46.21875	0.23203125
as_sample_14	SemiBin2	8.9	24.45625	1.8
as_sample_17	MetaBAT2	5.983333333333333	54.38125	0.34130859375
as_sample_3	MetaBinner	70.76666666666667	32.0375	2.5
as_sample_2	SemiBin2	8.333333333333334	24.00625	1.9
as_sample_16	CONCOCT	6.216666666666667	45.73125	0.24443359375
as_sample_17	SemiBin2	11.966666666666667	27.1625	40.3
as_sample_16	SemiBin2	6.733333333333333	18.53125	1.6
as_sample_15	SemiBin2	8.933333333333334	21.01875	25.9
