	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1240301004)	BINABUNDANCE	BOWTIE2BIN	20.0166666666667	0.333611111111111	1223.4	408.139833333333	13.6	107718	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	5.33777777777778
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1240401004)	BINABUNDANCE	BOWTIE2BIN	20.3833333333333	0.339722222222222	1213.7	412.320861111111	13.6	107715	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	5.43555555555556
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1240401005)	BINABUNDANCE	BOWTIE2BIN	23.45	0.390833333333333	1237.5	483.65625	13.6	107717	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	6.25333333333333
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241601019)	BINABUNDANCE	BOWTIE2BIN	18.3333333333333	0.305555555555556	1188.5	363.152777777778	13.6	107716	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	4.88888888888889
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241601021)	BINABUNDANCE	BOWTIE2BIN	20.35	0.339166666666667	1184.7	401.81075	13.6	107719	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	5.42666666666667
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241601036)	BINABUNDANCE	BOWTIE2BIN	25.5833333333333	0.426388888888889	1170.4	499.045555555556	13.6	107722	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	6.82222222222222
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241701022)	BINABUNDANCE	BOWTIE2BIN	24	0.4	1152.7	461.08	13.6	107721	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	6.4
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241701160)	BINABUNDANCE	BOWTIE2BIN	20.85	0.3475	1109.8	385.6555	13.6	107720	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	5.56
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241701161)	BINABUNDANCE	BOWTIE2BIN	24.2333333333333	0.403888888888889	1239.3	500.5395	13.6	107723	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	6.46222222222222
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241701162)	BINABUNDANCE	BOWTIE2BIN	23.3833333333333	0.389722222222222	1208.6	471.018277777778	13.6	107725	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	6.23555555555556
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:BINABUNDANCE:BOWTIE2BIN (1241701163)	BINABUNDANCE	BOWTIE2BIN	30.25	0.504166666666667	1229	619.620833333333	13.6	107724	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	8.06666666666667
