	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1240301004)	BINNER	CHECKM2	6.16666666666667	0.102777777777778	1151.6	118.358888888889	12.3	106676	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	1.64444444444444
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1240401004)	BINNER	CHECKM2	7.13333333333333	0.118888888888889	894.8	106.381777777778	11.6	106668	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	1.90222222222222
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1240401005)	BINNER	CHECKM2	6.76666666666667	0.112777777777778	1056.1	119.104611111111	12.4	106670	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	1.80444444444444
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241601019)	BINNER	CHECKM2	6.98333333333333	0.116388888888889	1065.9	124.058916666667	12.8	106673	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	1.86222222222222
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241601021)	BINNER	CHECKM2	6.83333333333333	0.113888888888889	1120	127.555555555556	12.6	106675	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	1.82222222222222
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241601036)	BINNER	CHECKM2	6.28333333333333	0.104722222222222	1111	116.346388888889	12.3	106674	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	1.67555555555556
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701022)	BINNER	CHECKM2	8.15	0.135833333333333	1198.7	162.823416666667	13.6	106693	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	2.17333333333333
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701160)	BINNER	CHECKM2	7.33333333333333	0.122222222222222	914.9	111.821111111111	11.4	106669	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	1.95555555555556
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701161)	BINNER	CHECKM2	6.58333333333333	0.109722222222222	1086.9	119.257083333333	11.8	106671	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	1.75555555555556
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701162)	BINNER	CHECKM2	7.78333333333333	0.129722222222222	1139.4	147.8055	13.2	106680	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	2.07555555555556
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701163)	BINNER	CHECKM2	9	0.15	1216	182.4	13.7	106694	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	2.4
12	1241701164	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701164)	BINNER	CHECKM2	6.26666666666667	0.104444444444444	1127.6	117.771555555556	12.1	106691	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	1.67111111111111
13	1241701165	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701165)	BINNER	CHECKM2	9.38333333333333	0.156388888888889	1203.5	188.214027777778	14	106695	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	2.50222222222222
14	1241701167	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701167)	BINNER	CHECKM2	8.7	0.145	1191.5	172.7675	13.9	106688	53087786	7.96	52932964	7.93	99.71	44.16	21734	133088	HG	2.32
15	1241701169	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701169)	BINNER	CHECKM2	5.86666666666667	0.0977777777777778	1009.5	98.7066666666667	10.9	106678	44462564	6.67	43913682	6.58	98.77	45.19	9770	539112	HG	1.56444444444444
16	1241701170	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701170)	BINNER	CHECKM2	6.85	0.114166666666667	1071.5	122.329583333333	12.6	106677	63809150	9.57	63395098	9.5	99.35	44.83	23116	390936	HG	1.82666666666667
17	1241701171	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701171)	BINNER	CHECKM2	6.4	0.106666666666667	1104.5	117.813333333333	11.6	106684	55091832	8.26	54881060	8.23	99.62	44.69	15740	195032	HG	1.70666666666667
18	1241701172	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701172)	BINNER	CHECKM2	6.1	0.101666666666667	1098.3	111.6605	12	106679	48451912	7.27	48420380	7.26	99.93	43.57	26118	5414	HG	1.62666666666667
19	1241701175	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701175)	BINNER	CHECKM2	6.88333333333333	0.114722222222222	1116.8	128.121777777778	12.6	106690	46510450	6.98	46148584	6.92	99.22	43.16	12654	349212	HG	1.83555555555556
20	1241701178	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1241701178)	BINNER	CHECKM2	4.28333333333333	0.0713888888888889	841	60.0380555555556	10.1	106672	49385610	7.41	49356708	7.4	99.94	44.07	18414	10488	HG	1.14222222222222
21	1251801001	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801001)	BINNER	CHECKM2	8.58333333333333	0.143055555555556	1210.8	173.211666666667	13.6	106692	73287852	10.99	73233964	10.98	99.93	44.96	36206	17682	HG	2.28888888888889
22	1251801002	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801002)	BINNER	CHECKM2	8.63333333333333	0.143888888888889	1212.9	174.522833333333	13.9	106686	115220754	17.28	114617882	17.18	99.48	43.84	58230	544642	HG	2.30222222222222
23	1251801003	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801003)	BINNER	CHECKM2	5.85	0.0975	1061.7	103.51575	11.3	106685	47345832	7.1	47305154	7.09	99.91	43.18	21562	19116	HG	1.56
24	1251801021	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801021)	BINNER	CHECKM2	8.78333333333333	0.146388888888889	1199.3	175.564194444444	13.8	106689	89931344	13.49	89871442	13.47	99.93	45.51	53402	6500	HG	2.34222222222222
