	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1240301004)	QC	FASTP	18.9833333333333	0.316388888888889	1127.1	356.601916666667	4.5	103343	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	5.06222222222222
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1240401004)	QC	FASTP	18.85	0.314166666666667	1145.8	359.972166666667	5	103345	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	5.02666666666667
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1240401005)	QC	FASTP	20.4666666666667	0.341111111111111	1160.7	395.927666666667	4.9	103342	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	5.45777777777778
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241601019)	QC	FASTP	18.95	0.315833333333333	1130.2	356.954833333333	5.4	104777	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	5.05333333333333
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241601021)	QC	FASTP	22	0.366666666666667	1083.8	397.393333333333	5.3	103349	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	5.86666666666667
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241601036)	QC	FASTP	24.85	0.414166666666667	1165.6	482.752666666667	5.4	103348	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	6.62666666666667
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701022)	QC	FASTP	24.1833333333333	0.403055555555556	1163.6	468.995444444444	5	103346	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	6.44888888888889
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701160)	QC	FASTP	25.25	0.420833333333333	1185.5	498.897916666667	5.1	103347	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	6.73333333333333
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701161)	QC	FASTP	22.0666666666667	0.367777777777778	1129.1	415.257888888889	5	103350	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	5.88444444444444
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701162)	QC	FASTP	22.5333333333333	0.375555555555556	1171.1	439.813111111111	5.4	103351	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	6.00888888888889
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701163)	QC	FASTP	29.1	0.485	1179.6	572.106	5	103352	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	7.76
12	1241701164	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701164)	QC	FASTP	22.4	0.373333333333333	1182.8	441.578666666667	9.8	103353	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	5.97333333333333
13	1241701165	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701165)	QC	FASTP	28.3666666666667	0.472777777777778	1220.7	577.119833333333	4.7	103355	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	7.56444444444444
14	1241701167	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701167)	QC	FASTP	23.95	0.399166666666667	1100	439.083333333333	5	103354	53087786	7.96	52932964	7.93	99.71	44.16	21734	133088	HG	6.38666666666667
15	1241701169	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701169)	QC	FASTP	21.6	0.36	1210.5	435.78	6.2	103356	44462564	6.67	43913682	6.58	98.77	45.19	9770	539112	HG	5.76
16	1241701170	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701170)	QC	FASTP	26.3833333333333	0.439722222222222	1166.6	512.979944444444	5	103360	63809150	9.57	63395098	9.5	99.35	44.83	23116	390936	HG	7.03555555555556
17	1241701171	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701171)	QC	FASTP	26.15	0.435833333333333	1250.2	544.878833333333	4.7	103357	55091832	8.26	54881060	8.23	99.62	44.69	15740	195032	HG	6.97333333333333
18	1241701172	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701172)	QC	FASTP	22.9833333333333	0.383055555555556	1181.4	452.541833333333	4.6	103358	48451912	7.27	48420380	7.26	99.93	43.57	26118	5414	HG	6.12888888888889
19	1241701175	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701175)	QC	FASTP	21.3333333333333	0.355555555555556	1245.2	442.737777777778	5.1	103359	46510450	6.98	46148584	6.92	99.22	43.16	12654	349212	HG	5.68888888888889
20	1241701178	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1241701178)	QC	FASTP	18.8666666666667	0.314444444444444	1201.7	377.867888888889	5.4	103361	49385610	7.41	49356708	7.4	99.94	44.07	18414	10488	HG	5.03111111111111
21	1251801001	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801001)	QC	FASTP	29.7	0.495	1110.1	549.4995	5.4	104827	73287852	10.99	73233964	10.98	99.93	44.96	36206	17682	HG	7.92
22	1251801002	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801002)	QC	FASTP	45.9666666666667	0.766111111111111	1210.3	927.224277777778	5.1	104826	115220754	17.28	114617882	17.18	99.48	43.84	58230	544642	HG	12.2577777777778
23	1251801003	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801003)	QC	FASTP	15.8166666666667	0.263611111111111	1259.2	331.939111111111	5	106472	47345832	7.1	47305154	7.09	99.91	43.18	21562	19116	HG	4.21777777777778
24	1251801021	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801021)	QC	FASTP	34.3833333333333	0.573055555555556	1287.2	737.637111111111	5.3	104833	89931344	13.49	89871442	13.47	99.93	45.51	53402	6500	HG	9.16888888888889
25	1251801022	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801022)	QC	FASTP	17.0666666666667	0.284444444444444	1291.8	367.445333333333	4.6	104831	40386366	6.06	40362086	6.05	99.94	43.6	15128	9152	HG	4.55111111111111
26	1251801023	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801023)	QC	FASTP	18.7166666666667	0.311944444444444	1262	393.673888888889	4.7	104836	50009704	7.5	49914470	7.48	99.81	44.67	25452	69782	HG	4.99111111111111
27	1251801024	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801024)	QC	FASTP	16.4	0.273333333333333	1050.7	287.191333333333	4.9	104834	36193138	5.43	36158614	5.42	99.9	46.09	18442	16082	HG	4.37333333333333
28	1251801025	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (1251801025)	QC	FASTP	19.5333333333333	0.325555555555556	1167.5	380.086111111111	5.3	104835	52948888	7.94	52915172	7.93	99.94	45.12	28368	5348	HG	5.20888888888889
29	L4_102_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L4_102_000M1)	QC	FASTP	27.0666666666667	0.451111111111111	1100.4	496.402666666667	6.7	105187	79363968	11.8	78573212	11.72	99	47.74	790658	98	Lou_HG	7.21777777777778
30	L4_171_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L4_171_000M1)	QC	FASTP	32.8833333333333	0.548055555555556	1112.2	609.547388888889	4.8	105189	80167552	11.94	79326746	11.86	98.95	47.32	840722	84	Lou_HG	8.76888888888889
31	L4_174_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L4_174_000M1)	QC	FASTP	20.7	0.345	1214.7	419.0715	4.5	105188	66485270	9.9	65770486	9.83	98.92	50.99	714706	78	Lou_HG	5.52
32	L5_022_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_022_000M1)	QC	FASTP	32.9	0.548333333333333	1082.4	593.516	5.9	105186	91679878	13.6	90281856	13.46	98.48	46.18	1397876	146	Lou_HG	8.77333333333333
33	L5_038_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_038_000M1)	QC	FASTP	32.1	0.535	1109.9	593.7965	4.9	105190	80346560	11.93	79176672	11.82	98.54	48.02	1169732	156	Lou_HG	8.56
34	L5_047_1096G1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_047_1096G1)	QC	FASTP	36.8666666666667	0.614444444444444	1112.8	683.753777777778	6.8	105198	105350914	15.63	103453088	15.45	98.2	49.82	1896474	1352	Lou_HG	9.83111111111111
35	L5_079_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_079_000M1)	QC	FASTP	35.0666666666667	0.584444444444445	1149.5	671.818888888889	5.3	105193	100637008	14.94	99092950	14.79	98.47	47.27	1542858	1200	Lou_HG	9.35111111111111
36	L5_079_1094G1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_079_1094G1)	QC	FASTP	34.4333333333333	0.573888888888889	1131.3	649.2405	5.2	105199	81088356	12.01	79751178	11.89	98.35	48.11	1336968	210	Lou_HG	9.18222222222222
37	L5_082_000M1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_082_000M1)	QC	FASTP	32.1666666666667	0.536111111111111	1073.9	575.729722222222	5.2	105191	82974530	12.28	81020522	12.09	97.65	49.81	1948658	5350	Lou_HG	8.57777777777778
38	L5_082_1015G1	NFCORE_METASSEMBLY:METASSEMBLY:QC:FASTP (L5_082_1015G1)	QC	FASTP	37.5	0.625	1189.4	743.375	5.2	105200	96809314	14.35	95173228	14.2	98.31	45.42	1635880	206	Lou_HG	10
