	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1240301004)	RAPID_TAXONOMIC_PROFILING	HUMANN	275.966666666667	4.59944444444444	1461	6719.78833333333	27.2	103516	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	147.182222222222
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1240401004)	RAPID_TAXONOMIC_PROFILING	HUMANN	256.416666666667	4.27361111111111	1425.9	6093.74208333333	28.3	103520	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	136.755555555556
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1240401005)	RAPID_TAXONOMIC_PROFILING	HUMANN	230.583333333333	3.84305555555556	1206.9	4638.18375	27.8	103517	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	122.977777777778
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241601019)	RAPID_TAXONOMIC_PROFILING	HUMANN	273.016666666667	4.55027777777778	1354.7	6164.26130555556	27.7	103500	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	145.608888888889
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241601021)	RAPID_TAXONOMIC_PROFILING	HUMANN	250.9	4.18166666666667	1179.5	4932.27583333333	27.7	103519	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	133.813333333333
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241601036)	RAPID_TAXONOMIC_PROFILING	HUMANN	329.733333333333	5.49555555555556	1278.6	7026.61733333333	29.6	103522	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	175.857777777778
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241701022)	RAPID_TAXONOMIC_PROFILING	HUMANN	340.816666666667	5.68027777777778	1182.8	6718.63255555555	29.5	103524	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	181.768888888889
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241701160)	RAPID_TAXONOMIC_PROFILING	HUMANN	251.816666666667	4.19694444444444	1282.1	5380.90247222222	28.7	103525	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	134.302222222222
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241701161)	RAPID_TAXONOMIC_PROFILING	HUMANN	262.483333333333	4.37472222222222	1344.4	5881.37655555556	28.4	103518	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	139.991111111111
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:RAPID_TAXONOMIC_PROFILING:HUMANN (1241701162)	RAPID_TAXONOMIC_PROFILING	HUMANN	312.6	5.21	1328.5	6921.485	28.5	103521	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	166.72
