	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NA	NA	NA	NA	NA	NA	NA	NA	NA	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	NA
2	1240401004	NA	NA	NA	NA	NA	NA	NA	NA	NA	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	NA
3	1240401005	NA	NA	NA	NA	NA	NA	NA	NA	NA	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	NA
4	1241601019	NA	NA	NA	NA	NA	NA	NA	NA	NA	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	NA
5	1241601021	NA	NA	NA	NA	NA	NA	NA	NA	NA	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	NA
6	1241601036	NA	NA	NA	NA	NA	NA	NA	NA	NA	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	NA
7	1241701022	NA	NA	NA	NA	NA	NA	NA	NA	NA	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	NA
8	1241701160	NA	NA	NA	NA	NA	NA	NA	NA	NA	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	NA
9	1241701161	NA	NA	NA	NA	NA	NA	NA	NA	NA	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	NA
10	1241701162	NA	NA	NA	NA	NA	NA	NA	NA	NA	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	NA
11	1241701163	NA	NA	NA	NA	NA	NA	NA	NA	NA	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	NA
12	1241701164	NA	NA	NA	NA	NA	NA	NA	NA	NA	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	NA
13	1241701165	NA	NA	NA	NA	NA	NA	NA	NA	NA	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	NA
14	1241701167	NA	NA	NA	NA	NA	NA	NA	NA	NA	53087786	7.96	52932964	7.93	99.71	44.16	21734	133088	HG	NA
15	1241701169	NA	NA	NA	NA	NA	NA	NA	NA	NA	44462564	6.67	43913682	6.58	98.77	45.19	9770	539112	HG	NA
16	1241701170	NA	NA	NA	NA	NA	NA	NA	NA	NA	63809150	9.57	63395098	9.5	99.35	44.83	23116	390936	HG	NA
17	1241701171	NA	NA	NA	NA	NA	NA	NA	NA	NA	55091832	8.26	54881060	8.23	99.62	44.69	15740	195032	HG	NA
18	1241701172	NA	NA	NA	NA	NA	NA	NA	NA	NA	48451912	7.27	48420380	7.26	99.93	43.57	26118	5414	HG	NA
19	1241701175	NA	NA	NA	NA	NA	NA	NA	NA	NA	46510450	6.98	46148584	6.92	99.22	43.16	12654	349212	HG	NA
20	1241701178	NA	NA	NA	NA	NA	NA	NA	NA	NA	49385610	7.41	49356708	7.4	99.94	44.07	18414	10488	HG	NA
21	1251801001	NA	NA	NA	NA	NA	NA	NA	NA	NA	73287852	10.99	73233964	10.98	99.93	44.96	36206	17682	HG	NA
22	1251801002	NA	NA	NA	NA	NA	NA	NA	NA	NA	115220754	17.28	114617882	17.18	99.48	43.84	58230	544642	HG	NA
23	1251801003	NA	NA	NA	NA	NA	NA	NA	NA	NA	47345832	7.1	47305154	7.09	99.91	43.18	21562	19116	HG	NA
24	1251801021	NA	NA	NA	NA	NA	NA	NA	NA	NA	89931344	13.49	89871442	13.47	99.93	45.51	53402	6500	HG	NA
25	1251801022	NA	NA	NA	NA	NA	NA	NA	NA	NA	40386366	6.06	40362086	6.05	99.94	43.6	15128	9152	HG	NA
