	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1240301004)	ASSEMBLY	METASPADES	191.616666666667	3.19361111111111	1703.1	5439.03908333333	36.1	103446	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	102.195555555556
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1240401004)	ASSEMBLY	METASPADES	154.1	2.56833333333333	1882	4833.60333333333	36.2	103448	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	82.1866666666667
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1240401005)	ASSEMBLY	METASPADES	209.233333333333	3.48722222222222	1861	6489.72055555555	36.3	103453	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	111.591111111111
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241601019)	ASSEMBLY	METASPADES	181.283333333333	3.02138888888889	1711	5169.59638888889	36.3	103443	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	96.6844444444444
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241601021)	ASSEMBLY	METASPADES	222.65	3.71083333333333	1724.9	6400.81641666667	36.2	103459	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	118.746666666667
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241601036)	ASSEMBLY	METASPADES	295.916666666667	4.93194444444444	1736.7	8565.30791666667	36.3	103466	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	157.822222222222
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241701022)	ASSEMBLY	METASPADES	243.883333333333	4.06472222222222	1663.5	6761.66541666667	41.3	103463	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	130.071111111111
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241701160)	ASSEMBLY	METASPADES	219.95	3.66583333333333	1904.1	6980.11325	36.2	103470	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	117.306666666667
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241701161)	ASSEMBLY	METASPADES	203.316666666667	3.38861111111111	1880.7	6372.96091666667	36.3	103455	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	108.435555555556
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:METASPADES (1241701162)	ASSEMBLY	METASPADES	282.566666666667	4.70944444444444	1950.5	9185.77138888889	56.6	103460	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	150.702222222222
