	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1240301004)	GENESET	PRODIGAL	16.7333333333333	0.278888888888889	100	27.8888888888889	0.05966796875	103744	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	4.46222222222222
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1240401004)	GENESET	PRODIGAL	12.9	0.215	99.9	21.4785	0.06337890625	103638	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	3.44
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1240401005)	GENESET	PRODIGAL	13.75	0.229166666666667	99.4	22.7791666666667	0.0638671875	103770	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	3.66666666666667
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241601019)	GENESET	PRODIGAL	17.9166666666667	0.298611111111111	98.9	29.5326388888889	0.05966796875	103732	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	4.77777777777778
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241601021)	GENESET	PRODIGAL	17.9	0.298333333333333	100.1	29.8631666666667	0.063671875	103772	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	4.77333333333333
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241601036)	GENESET	PRODIGAL	16.9333333333333	0.282222222222222	99.9	28.194	0.06982421875	103837	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	4.51555555555556
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701022)	GENESET	PRODIGAL	29.1166666666667	0.485277777777778	100	48.5277777777778	0.06572265625	103793	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	7.76444444444444
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701160)	GENESET	PRODIGAL	20.4333333333333	0.340555555555556	100.1	34.0896111111111	0.06357421875	103774	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	5.44888888888889
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701161)	GENESET	PRODIGAL	22.1166666666667	0.368611111111111	100.1	36.8979722222222	0.06484375	103768	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	5.89777777777778
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701162)	GENESET	PRODIGAL	23.3	0.388333333333333	100.1	38.8721666666667	0.06767578125	103833	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	6.21333333333333
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701163)	GENESET	PRODIGAL	30.0166666666667	0.500277777777778	100.4	50.2278888888889	0.06376953125	103923	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	8.00444444444444
12	1241701164	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701164)	GENESET	PRODIGAL	21.15	0.3525	100	35.25	0.06552734375	103835	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	5.64
13	1241701165	NFCORE_METASSEMBLY:METASSEMBLY:GENESET:PRODIGAL (1241701165)	GENESET	PRODIGAL	34.3833333333333	0.573055555555556	100.1	57.3628611111111	0.06376953125	103873	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	9.16888888888889
