	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
1	1240301004	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1240301004)	BINNER	SEMIBIN2	8.91666666666667	0.148611111111111	347.8	51.6869444444444	37.6	104843	43621144	6.54	43598418	6.53	99.95	42.81	19462	3264	HG	2.37777777777778
2	1240401004	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1240401004)	BINNER	SEMIBIN2	6.83333333333333	0.113888888888889	277.8	31.6383333333333	3.8	104840	46141126	6.92	46051416	6.9	99.81	43.29	20786	68924	HG	1.82222222222222
3	1240401005	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1240401005)	BINNER	SEMIBIN2	8.5	0.141666666666667	303.7	43.0241666666667	17.2	104848	49046928	7.36	49014534	7.35	99.93	43.09	27554	4840	HG	2.26666666666667
4	1241601019	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241601019)	BINNER	SEMIBIN2	9.2	0.153333333333333	336.2	51.5506666666667	30.4	104844	42262416	6.34	42188074	6.32	99.82	44.46	14906	59436	HG	2.45333333333333
5	1241601021	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241601021)	BINNER	SEMIBIN2	9.25	0.154166666666667	320.9	49.4720833333333	43.1	104850	52261330	7.84	52236750	7.83	99.95	43.85	22162	2418	HG	2.46666666666667
6	1241601036	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241601036)	BINNER	SEMIBIN2	9.88333333333333	0.164722222222222	297.4	48.9883888888889	26.2	104862	62635094	9.4	62566490	9.37	99.89	42.65	35772	32832	HG	2.63555555555556
7	1241701022	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701022)	BINNER	SEMIBIN2	13.1833333333333	0.219722222222222	359.2	78.9242222222222	51.1	104860	60439198	9.07	60367720	9.05	99.88	47.64	32144	39334	HG	3.51555555555556
8	1241701160	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701160)	BINNER	SEMIBIN2	9.9	0.165	322.1	53.1465	16.9	104858	58187590	8.73	57060636	8.55	98.06	44.89	28184	1098770	HG	2.64
9	1241701161	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701161)	BINNER	SEMIBIN2	10.1333333333333	0.168888888888889	354.2	59.8204444444444	18.4	104892	51854222	7.78	51780252	7.76	99.86	44.77	26472	47498	HG	2.70222222222222
10	1241701162	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701162)	BINNER	SEMIBIN2	9.35	0.155833333333333	341.4	53.2015	19.6	104882	56633130	8.49	56531714	8.47	99.82	45.72	28142	73274	HG	2.49333333333333
11	1241701163	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701163)	BINNER	SEMIBIN2	13.75	0.229166666666667	365.8	83.8291666666667	60.8	104912	73579602	11.04	73486950	11.01	99.87	47.63	35094	57558	HG	3.66666666666667
12	1241701164	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701164)	BINNER	SEMIBIN2	10.6	0.176666666666667	351.2	62.0453333333333	52.8	104879	55385114	8.31	55354362	8.29	99.94	42.62	22482	8270	HG	2.82666666666667
13	1241701165	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701165)	BINNER	SEMIBIN2	14.7333333333333	0.245555555555556	378.5	92.9427777777778	88.8	104885	67287766	10.09	65539090	9.82	97.4	46.35	28452	1720224	HG	3.92888888888889
14	1241701167	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701167)	BINNER	SEMIBIN2	11.0666666666667	0.184444444444444	333	61.42	40.9	104865	53087786	7.96	52932964	7.93	99.71	44.16	21734	133088	HG	2.95111111111111
15	1241701169	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701169)	BINNER	SEMIBIN2	9.11666666666667	0.151944444444444	303.8	46.1607222222222	4.1	104853	44462564	6.67	43913682	6.58	98.77	45.19	9770	539112	HG	2.43111111111111
16	1241701170	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701170)	BINNER	SEMIBIN2	8.26666666666667	0.137777777777778	269.1	37.076	16.7	104874	63809150	9.57	63395098	9.5	99.35	44.83	23116	390936	HG	2.20444444444444
17	1241701171	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701171)	BINNER	SEMIBIN2	9.8	0.163333333333333	328.9	53.7203333333333	36.1	104904	55091832	8.26	54881060	8.23	99.62	44.69	15740	195032	HG	2.61333333333333
18	1241701172	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701172)	BINNER	SEMIBIN2	9	0.15	300	45	16.1	104901	48451912	7.27	48420380	7.26	99.93	43.57	26118	5414	HG	2.4
19	1241701175	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701175)	BINNER	SEMIBIN2	9.18333333333333	0.153055555555556	322	49.2838888888889	50.7	104909	46510450	6.98	46148584	6.92	99.22	43.16	12654	349212	HG	2.44888888888889
20	1241701178	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1241701178)	BINNER	SEMIBIN2	5.86666666666667	0.0977777777777778	268.1	26.2142222222222	3.5	104897	49385610	7.41	49356708	7.4	99.94	44.07	18414	10488	HG	1.56444444444444
21	1251801001	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801001)	BINNER	SEMIBIN2	12.4166666666667	0.206944444444444	323.7	66.9879166666667	49.3	105180	73287852	10.99	73233964	10.98	99.93	44.96	36206	17682	HG	3.31111111111111
22	1251801002	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801002)	BINNER	SEMIBIN2	14.3833333333333	0.239722222222222	276.1	66.1873055555556	5.4	106471	115220754	17.28	114617882	17.18	99.48	43.84	58230	544642	HG	3.83555555555556
23	1251801003	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801003)	BINNER	SEMIBIN2	8.26666666666667	0.137777777777778	301.8	41.5813333333333	19	106637	47345832	7.1	47305154	7.09	99.91	43.18	21562	19116	HG	2.20444444444444
24	1251801021	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801021)	BINNER	SEMIBIN2	15.45	0.2575	336	86.52	56.4	105183	89931344	13.49	89871442	13.47	99.93	45.51	53402	6500	HG	4.12
25	1251801022	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801022)	BINNER	SEMIBIN2	7.18333333333333	0.119722222222222	280.6	33.5940555555556	21.4	105149	40386366	6.06	40362086	6.05	99.94	43.6	15128	9152	HG	1.91555555555556
26	1251801023	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801023)	BINNER	SEMIBIN2	9.41666666666667	0.156944444444444	325.9	51.1481944444444	25	105164	50009704	7.5	49914470	7.48	99.81	44.67	25452	69782	HG	2.51111111111111
27	1251801024	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801024)	BINNER	SEMIBIN2	9.03333333333333	0.150555555555556	310.5	46.7475	22.4	105092	36193138	5.43	36158614	5.42	99.9	46.09	18442	16082	HG	2.40888888888889
28	1251801025	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (1251801025)	BINNER	SEMIBIN2	10.3333333333333	0.172222222222222	346.8	59.7266666666667	40.3	105167	52948888	7.94	52915172	7.93	99.94	45.12	28368	5348	HG	2.75555555555556
29	L4_102_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L4_102_000M1)	BINNER	SEMIBIN2	19.2	0.32	394.9	126.368	95.1	105528	79363968	11.8	78573212	11.72	99	47.74	790658	98	Lou_HG	5.12
30	L4_171_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L4_171_000M1)	BINNER	SEMIBIN2	14.5333333333333	0.242222222222222	403.7	97.7851111111111	67	105523	80167552	11.94	79326746	11.86	98.95	47.32	840722	84	Lou_HG	3.87555555555556
31	L4_174_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L4_174_000M1)	BINNER	SEMIBIN2	18.6666666666667	0.311111111111111	414.5	128.955555555556	63.9	105480	66485270	9.9	65770486	9.83	98.92	50.99	714706	78	Lou_HG	4.97777777777778
32	L5_022_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_022_000M1)	BINNER	SEMIBIN2	14.8	0.246666666666667	369.3	91.094	54.9	105558	91679878	13.6	90281856	13.46	98.48	46.18	1397876	146	Lou_HG	3.94666666666667
33	L5_038_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_038_000M1)	BINNER	SEMIBIN2	15.3	0.255	416.6	106.233	86	105592	80346560	11.93	79176672	11.82	98.54	48.02	1169732	156	Lou_HG	4.08
34	L5_047_1096G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_047_1096G1)	BINNER	SEMIBIN2	17.4333333333333	0.290555555555556	406.1	117.994611111111	83.4	105627	105350914	15.63	103453088	15.45	98.2	49.82	1896474	1352	Lou_HG	4.64888888888889
35	L5_079_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_079_000M1)	BINNER	SEMIBIN2	16.7833333333333	0.279722222222222	411.4	115.077722222222	92.9	105602	100637008	14.94	99092950	14.79	98.47	47.27	1542858	1200	Lou_HG	4.47555555555556
36	L5_079_1094G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_079_1094G1)	BINNER	SEMIBIN2	15.9666666666667	0.266111111111111	374.5	99.6586111111111	6.2	105570	81088356	12.01	79751178	11.89	98.35	48.11	1336968	210	Lou_HG	4.25777777777778
37	L5_082_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_082_000M1)	BINNER	SEMIBIN2	15.55	0.259166666666667	394.5	102.24125	64.1	105515	82974530	12.28	81020522	12.09	97.65	49.81	1948658	5350	Lou_HG	4.14666666666667
38	L5_082_1015G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_082_1015G1)	BINNER	SEMIBIN2	16.2166666666667	0.270277777777778	369.1	99.7595277777778	75.8	105680	96809314	14.35	95173228	14.2	98.31	45.42	1635880	206	Lou_HG	4.32444444444444
39	L5_082_1096G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_082_1096G1)	BINNER	SEMIBIN2	16.9333333333333	0.282222222222222	393.1	110.941555555556	77.2	105623	85408592	12.66	83810816	12.51	98.13	46.5	1597588	188	Lou_HG	4.51555555555556
40	L5_098_907G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_098_907G1)	BINNER	SEMIBIN2	15.6833333333333	0.261388888888889	443.5	115.925972222222	57.1	105582	77714732	11.52	76277682	11.38	98.15	49.34	1436870	180	Lou_HG	4.18222222222222
41	L5_101_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_101_000M1)	BINNER	SEMIBIN2	17.65	0.294166666666667	384.2	113.018833333333	55.1	105588	94522050	14.04	93118638	13.91	98.52	45.56	1403262	150	Lou_HG	4.70666666666667
42	L5_102_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_102_000M1)	BINNER	SEMIBIN2	17.5666666666667	0.292777777777778	412.7	120.829388888889	101.5	105578	84792930	12.55	83480160	12.43	98.45	45.98	1312446	324	Lou_HG	4.68444444444444
43	L5_121_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_121_000M1)	BINNER	SEMIBIN2	14.35	0.239166666666667	398.2	95.2361666666667	68.5	105572	79383838	11.68	78022702	11.56	98.29	48.26	1360140	996	Lou_HG	3.82666666666667
44	L5_144_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_144_000M1)	BINNER	SEMIBIN2	14.5166666666667	0.241944444444444	437	105.729722222222	93.2	105576	69096426	10.21	67815912	10.09	98.15	46.59	1280342	172	Lou_HG	3.87111111111111
45	L5_144_1092G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_144_1092G1)	BINNER	SEMIBIN2	13.4166666666667	0.223611111111111	410.9	91.8818055555555	82.5	105634	67195394	9.95	65785566	9.81	97.9	49.67	1409602	226	Lou_HG	3.57777777777778
46	L5_144_915G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_144_915G1)	BINNER	SEMIBIN2	16.0166666666667	0.266944444444444	419.2	111.903111111111	74.8	105667	84562104	12.52	82778186	12.35	97.89	48.84	1783164	754	Lou_HG	4.27111111111111
47	L5_145_912G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_145_912G1)	BINNER	SEMIBIN2	12.5833333333333	0.209722222222222	386.2	80.9947222222222	47.8	105561	80899664	11.97	79304196	11.82	98.03	46.29	1595032	436	Lou_HG	3.35555555555556
48	L5_162_1090G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_162_1090G1)	BINNER	SEMIBIN2	15.7833333333333	0.263055555555556	373	98.1197222222222	63.3	105547	69721966	10.31	68112122	10.16	97.69	45.85	1606146	3698	Lou_HG	4.20888888888889
49	L5_169_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_169_000M1)	BINNER	SEMIBIN2	13.4833333333333	0.224722222222222	369.2	82.9674444444444	55	105539	94068276	13.95	92549736	13.81	98.39	46.4	1518288	252	Lou_HG	3.59555555555556
50	L5_169_914G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_169_914G1)	BINNER	SEMIBIN2	14.3166666666667	0.238611111111111	352.1	84.0149722222222	6.2	105615	99088722	14.69	97352422	14.53	98.25	49.14	1736030	270	Lou_HG	3.81777777777778
51	L5_187_1052G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (L5_187_1052G1)	BINNER	SEMIBIN2	14.2166666666667	0.236944444444444	363.7	86.1766944444445	6.2	105596	103500774	15.34	101748736	15.17	98.31	48.49	1749806	2232	Lou_HG	3.79111111111111
52	SRR5788019	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (SRR5788019)	BINNER	SEMIBIN2	4.41666666666667	0.0736111111111111	150.1	11.0490277777778	16.5	104488	82852262	12.43	69655782	9.5	84.07	43.14	12972592	223888	Ocean	1.17777777777778
53	SRR5788051	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:SEMIBIN2 (SRR5788051)	BINNER	SEMIBIN2	5.93333333333333	0.0988888888888889	204.6	20.2326666666667	36.2	104581	114506672	17.18	94584744	12.76	82.6	40.09	19789104	132824	Ocean	1.58222222222222
