	ID	Group	Contig_Count	Total_length
1	1240301004	HG	15353	152047977
2	1240401004	HG	2742	77495983
3	1240401005	HG	8776	108573419
4	1241601019	HG	13601	132121366
5	1241601021	HG	16497	131724614
6	1241601036	HG	12769	136326398
7	1241701022	HG	20181	198112414
8	1241701160	HG	8798	127592341
9	1241701161	HG	9209	140874495
10	1241701162	HG	10018	133025522
11	1241701163	HG	22517	212357925
12	1241701164	HG	20529	168677039
13	1241701165	HG	30653	247271908
14	1241701167	HG	17821	173667890
15	1241701169	HG	6343	93779539
16	1241701170	HG	6987	89327092
17	1241701171	HG	14991	143370085
18	1241701172	HG	8336	113599334
19	1241701175	HG	19827	147996234
20	1241701178	HG	5322	55922990
21	1251801001	HG	19365	181097448
22	1251801002	HG	14740	175152060
23	1251801003	HG	10014	100410479
24	1251801021	HG	23455	221892197
25	1251801022	HG	10966	97232576
26	1251801023	HG	12433	128095240
27	1251801024	HG	11684	119370651
28	1251801025	HG	15919	155135007
29	L4_102_000M1	Lou_HG	31129	315091332
30	L4_171_000M1	Lou_HG	24280	260518185
31	L4_174_000M1	Lou_HG	23269	247855921
32	L5_022_000M1	Lou_HG	20678	234532133
33	L5_038_000M1	Lou_HG	29322	264238277
34	L5_047_1096G1	Lou_HG	28124	299889629
35	L5_079_000M1	Lou_HG	30505	296442846
36	L5_079_1094G1	Lou_HG	21526	224760275
37	L5_082_000M1	Lou_HG	23337	248630070
38	L5_082_1015G1	Lou_HG	26516	273954215
39	L5_082_1096G1	Lou_HG	28591	273710498
40	L5_098_907G1	Lou_HG	24000	255687849
41	L5_101_000M1	Lou_HG	22865	278298045
42	L5_102_000M1	Lou_HG	32750	303795428
43	L5_121_000M1	Lou_HG	24448	239058947
44	L5_144_000M1	Lou_HG	30682	267366942
45	L5_144_1092G1	Lou_HG	29069	246906526
46	L5_144_915G1	Lou_HG	26723	259743032
47	L5_145_912G1	Lou_HG	18824	221916892
48	L5_162_1090G1	Lou_HG	23045	241502242
49	L5_169_000M1	Lou_HG	21675	220524644
50	L5_169_914G1	Lou_HG	20249	222764335
51	L5_187_1052G1	Lou_HG	19981	224534171
52	SRR5788019	Ocean	7571	25725093
53	SRR5788051	Ocean	15682	50550972
54	SRR5788054	Ocean	4454	13796158
55	SRR5788072	Ocean	8874	29521846
56	SRR5788098	Ocean	8389	27679631
57	SRR5788110	Ocean	6043	23202584
58	SRR5788132	Ocean	14676	49572707
59	SRR5788157	Ocean	10566	35687424
60	SRR5788160	Ocean	9219	29967381
61	SRR5788169	Ocean	9297	36473126
62	SRR5788170	Ocean	8003	27410412
63	SRR5788178	Ocean	2509	7996577
64	SRR5788201	Ocean	12508	54811837
65	SRR5788251	Ocean	3602	11401536
66	SRR5788255	Ocean	6374	20366443
67	SRR5788265	Ocean	22660	77269402
68	SRR5788272	Ocean	5153	24273953
69	SRR5788292	Ocean	10194	37765649
70	SRR5788307	Ocean	30309	118487773
71	SRR5788381	Ocean	12415	45545766
72	SRR5788386	Ocean	4419	15757082
73	SRR5788404	Ocean	9284	31395120
74	SRR5788412	Ocean	11571	46853519
75	SRR5788437	Ocean	2726	9088568
76	SRR5935751	iHMP	2993	31384261
77	SRR5935942	iHMP	9009	55534909
78	SRR5936006	iHMP	3785	47756711
79	SRR5936131	iHMP	4007	46427402
80	SRR5936196	iHMP	2876	39276548
81	SRR5936221	iHMP	4324	52376970
82	SRR5936235	iHMP	4148	37047474
83	SRR5946620	iHMP	2443	31573469
84	SRR5946645	iHMP	5285	37889222
85	SRR5946691	iHMP	5531	49228914
86	SRR5946707	iHMP	6101	41935812
87	SRR5946794	iHMP	4850	30867848
88	SRR5946842	iHMP	4914	50622440
89	SRR5946919	iHMP	5325	52235597
90	SRR5947041	iHMP	5680	35117703
91	SRR5947065	iHMP	6346	49359661
92	SRR5950535	iHMP	3984	34294758
93	SRR5950618	iHMP	4415	62492240
94	SRR5950662	iHMP	6924	54906287
95	SRR5950780	iHMP	4838	48041486
