binner	BinScore	avg_counts	dataset
binny_comebin	<0.5	47.5	airskin
binny_comebin	>0.6	4.5	airskin
binny_comebin	>0.7	4	airskin
binny_comebin	>0.8	4.57894736842105	airskin
binny_comebin	>0.9	48.95	airskin
binny_comebin	>=0.5	4.44444444444444	airskin
binny_comebin_concoct	<0.5	68.65	airskin
binny_comebin_concoct	>0.6	5.11111111111111	airskin
binny_comebin_concoct	>0.7	4.83333333333333	airskin
binny_comebin_concoct	>0.8	5.25	airskin
binny_comebin_concoct	>0.9	56.6	airskin
binny_comebin_concoct	>=0.5	5.73684210526316	airskin
binny_comebin_concoct_metabinner	<0.5	77.05	airskin
binny_comebin_concoct_metabinner	>0.6	6.66666666666667	airskin
binny_comebin_concoct_metabinner	>0.7	6.21052631578947	airskin
binny_comebin_concoct_metabinner	>0.8	7.8	airskin
binny_comebin_concoct_metabinner	>0.9	78	airskin
binny_comebin_concoct_metabinner	>=0.5	7.26315789473684	airskin
binny_comebin_concoct_semibin2	<0.5	104.65	airskin
binny_comebin_concoct_semibin2	>0.6	7.84210526315789	airskin
binny_comebin_concoct_semibin2	>0.7	6.85	airskin
binny_comebin_concoct_semibin2	>0.8	8.55	airskin
binny_comebin_concoct_semibin2	>0.9	74.2	airskin
binny_comebin_concoct_semibin2	>=0.5	8.63157894736842	airskin
binny_comebin_concoct_semibin2_metabinner	<0.5	113.05	airskin
binny_comebin_concoct_semibin2_metabinner	>0.6	9.31578947368421	airskin
binny_comebin_concoct_semibin2_metabinner	>0.7	8.4	airskin
binny_comebin_concoct_semibin2_metabinner	>0.8	11.1	airskin
binny_comebin_concoct_semibin2_metabinner	>0.9	95.6	airskin
binny_comebin_concoct_semibin2_metabinner	>=0.5	10.1578947368421	airskin
binny_comebin_metabinner	<0.5	55.9	airskin
binny_comebin_metabinner	>0.6	6.25	airskin
binny_comebin_metabinner	>0.7	5.42105263157895	airskin
binny_comebin_metabinner	>0.8	6.9	airskin
binny_comebin_metabinner	>0.9	70.35	airskin
binny_comebin_metabinner	>=0.5	6.05555555555556	airskin
binny_comebin_semibin2	<0.5	83.5	airskin
binny_comebin_semibin2	>0.6	6.78947368421053	airskin
binny_comebin_semibin2	>0.7	6.1	airskin
binny_comebin_semibin2	>0.8	7.65	airskin
binny_comebin_semibin2	>0.9	66.55	airskin
binny_comebin_semibin2	>=0.5	7.5	airskin
binny_comebin_semibin2_metabinner	<0.5	91.9	airskin
binny_comebin_semibin2_metabinner	>0.6	8.26315789473684	airskin
binny_comebin_semibin2_metabinner	>0.7	7.65	airskin
binny_comebin_semibin2_metabinner	>0.8	10.2	airskin
binny_comebin_semibin2_metabinner	>0.9	87.95	airskin
binny_comebin_semibin2_metabinner	>=0.5	9.11111111111111	airskin
binny_concoct	<0.5	24.4	airskin
binny_concoct	>0.6	3	airskin
binny_concoct	>0.7	2.73333333333333	airskin
binny_concoct	>0.8	3.11764705882353	airskin
binny_concoct	>0.9	32.4	airskin
binny_concoct	>=0.5	3.61538461538462	airskin
binny_concoct_metabinner	<0.5	32.8	airskin
binny_concoct_metabinner	>0.6	4.5625	airskin
binny_concoct_metabinner	>0.7	4	airskin
binny_concoct_metabinner	>0.8	5.2	airskin
binny_concoct_metabinner	>0.9	53.8	airskin
binny_concoct_metabinner	>=0.5	4.75	airskin
binny_concoct_semibin2	<0.5	60.4	airskin
binny_concoct_semibin2	>0.6	5.36842105263158	airskin
binny_concoct_semibin2	>0.7	4.78947368421053	airskin
binny_concoct_semibin2	>0.8	6.26315789473684	airskin
binny_concoct_semibin2	>0.9	50	airskin
binny_concoct_semibin2	>=0.5	5.66666666666667	airskin
binny_concoct_semibin2_metabinner	<0.5	68.8	airskin
binny_concoct_semibin2_metabinner	>0.6	6.84210526315789	airskin
binny_concoct_semibin2_metabinner	>0.7	6.42105263157895	airskin
binny_concoct_semibin2_metabinner	>0.8	8.5	airskin
binny_concoct_semibin2_metabinner	>0.9	71.4	airskin
binny_concoct_semibin2_metabinner	>=0.5	7.27777777777778	airskin
binny_maxbin	<0.5	29.8947368421053	airskin
binny_maxbin	>0.6	3	airskin
binny_maxbin	>0.7	3.13333333333333	airskin
binny_maxbin	>0.8	3.70588235294118	airskin
binny_maxbin	>0.9	32.85	airskin
binny_maxbin	>=0.5	2.93333333333333	airskin
binny_maxbin_comebin	<0.5	72.65	airskin
binny_maxbin_comebin	>0.6	5	airskin
binny_maxbin_comebin	>0.7	5.16666666666667	airskin
binny_maxbin_comebin	>0.8	5.75	airskin
binny_maxbin_comebin	>0.9	57.05	airskin
binny_maxbin_comebin	>=0.5	5.57894736842105	airskin
binny_maxbin_comebin_concoct	<0.5	93.8	airskin
binny_maxbin_comebin_concoct	>0.6	6.05263157894737	airskin
binny_maxbin_comebin_concoct	>0.7	6	airskin
binny_maxbin_comebin_concoct	>0.8	6.65	airskin
binny_maxbin_comebin_concoct	>0.9	64.7	airskin
binny_maxbin_comebin_concoct	>=0.5	7.10526315789474	airskin
binny_maxbin_comebin_concoct_metabinner	<0.5	102.2	airskin
binny_maxbin_comebin_concoct_metabinner	>0.6	7.52631578947368	airskin
binny_maxbin_comebin_concoct_metabinner	>0.7	7.31578947368421	airskin
binny_maxbin_comebin_concoct_metabinner	>0.8	9.2	airskin
binny_maxbin_comebin_concoct_metabinner	>0.9	86.1	airskin
binny_maxbin_comebin_concoct_metabinner	>=0.5	8.63157894736842	airskin
binny_maxbin_comebin_concoct_semibin2	<0.5	129.8	airskin
binny_maxbin_comebin_concoct_semibin2	>0.6	9.05263157894737	airskin
binny_maxbin_comebin_concoct_semibin2	>0.7	7.9	airskin
binny_maxbin_comebin_concoct_semibin2	>0.8	9.95	airskin
binny_maxbin_comebin_concoct_semibin2	>0.9	82.3	airskin
binny_maxbin_comebin_concoct_semibin2	>=0.5	10	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	<0.5	138.2	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	>0.6	10.5263157894737	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	>0.7	9.45	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	>0.8	12.5	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	>0.9	103.7	airskin
binny_maxbin_comebin_concoct_semibin2_metabinner	>=0.5	11.5263157894737	airskin
binny_maxbin_comebin_metabinner	<0.5	81.05	airskin
binny_maxbin_comebin_metabinner	>0.6	6.47368421052632	airskin
binny_maxbin_comebin_metabinner	>0.7	6.52631578947368	airskin
binny_maxbin_comebin_metabinner	>0.8	8.3	airskin
binny_maxbin_comebin_metabinner	>0.9	78.45	airskin
binny_maxbin_comebin_metabinner	>=0.5	7.10526315789474	airskin
binny_maxbin_comebin_semibin2	<0.5	108.65	airskin
binny_maxbin_comebin_semibin2	>0.6	8	airskin
binny_maxbin_comebin_semibin2	>0.7	7.15	airskin
binny_maxbin_comebin_semibin2	>0.8	9.05	airskin
binny_maxbin_comebin_semibin2	>0.9	74.65	airskin
binny_maxbin_comebin_semibin2	>=0.5	8.47368421052632	airskin
binny_maxbin_comebin_semibin2_metabinner	<0.5	117.05	airskin
binny_maxbin_comebin_semibin2_metabinner	>0.6	9.47368421052632	airskin
binny_maxbin_comebin_semibin2_metabinner	>0.7	8.7	airskin
binny_maxbin_comebin_semibin2_metabinner	>0.8	11.6	airskin
binny_maxbin_comebin_semibin2_metabinner	>0.9	96.05	airskin
binny_maxbin_comebin_semibin2_metabinner	>=0.5	10	airskin
binny_maxbin_concoct	<0.5	49.55	airskin
binny_maxbin_concoct	>0.6	4.25	airskin
binny_maxbin_concoct	>0.7	3.875	airskin
binny_maxbin_concoct	>0.8	4.76470588235294	airskin
binny_maxbin_concoct	>0.9	40.5	airskin
binny_maxbin_concoct	>=0.5	4.5625	airskin
binny_maxbin_concoct_metabinner	<0.5	57.95	airskin
binny_maxbin_concoct_metabinner	>0.6	5.64705882352941	airskin
binny_maxbin_concoct_metabinner	>0.7	5.16666666666667	airskin
binny_maxbin_concoct_metabinner	>0.8	6.6	airskin
binny_maxbin_concoct_metabinner	>0.9	61.9	airskin
binny_maxbin_concoct_metabinner	>=0.5	6	airskin
binny_maxbin_concoct_semibin2	<0.5	85.55	airskin
binny_maxbin_concoct_semibin2	>0.6	6.57894736842105	airskin
binny_maxbin_concoct_semibin2	>0.7	5.89473684210526	airskin
binny_maxbin_concoct_semibin2	>0.8	7.73684210526316	airskin
binny_maxbin_concoct_semibin2	>0.9	58.1	airskin
binny_maxbin_concoct_semibin2	>=0.5	7.11111111111111	airskin
binny_maxbin_concoct_semibin2_metabinner	<0.5	93.95	airskin
binny_maxbin_concoct_semibin2_metabinner	>0.6	8.05263157894737	airskin
binny_maxbin_concoct_semibin2_metabinner	>0.7	7.52631578947368	airskin
binny_maxbin_concoct_semibin2_metabinner	>0.8	9.9	airskin
binny_maxbin_concoct_semibin2_metabinner	>0.9	79.5	airskin
binny_maxbin_concoct_semibin2_metabinner	>=0.5	8.72222222222222	airskin
binny_maxbin_metabat	<0.5	47.1	airskin
binny_maxbin_metabat	>0.6	3.58823529411765	airskin
binny_maxbin_metabat	>0.7	3.72222222222222	airskin
binny_maxbin_metabat	>0.8	4.55555555555556	airskin
binny_maxbin_metabat	>0.9	41.55	airskin
binny_maxbin_metabat	>=0.5	3.88235294117647	airskin
binny_maxbin_metabat_comebin	<0.5	91.35	airskin
binny_maxbin_metabat_comebin	>0.6	5.68421052631579	airskin
binny_maxbin_metabat_comebin	>0.7	6.27777777777778	airskin
binny_maxbin_metabat_comebin	>0.8	6.7	airskin
binny_maxbin_metabat_comebin	>0.9	65.75	airskin
binny_maxbin_metabat_comebin	>=0.5	6.4	airskin
binny_maxbin_metabat_comebin_concoct	<0.5	112.5	airskin
binny_maxbin_metabat_comebin_concoct	>0.6	6.73684210526316	airskin
binny_maxbin_metabat_comebin_concoct	>0.7	7.11111111111111	airskin
binny_maxbin_metabat_comebin_concoct	>0.8	7.6	airskin
binny_maxbin_metabat_comebin_concoct	>0.9	73.4	airskin
binny_maxbin_metabat_comebin_concoct	>=0.5	7.85	airskin
binny_maxbin_metabat_comebin_concoct_metabinner	<0.5	120.9	airskin
binny_maxbin_metabat_comebin_concoct_metabinner	>0.6	8.21052631578947	airskin
