SampleID	Group
as_sample_10	AirSkin
as_sample_11	AirSkin
as_sample_12	AirSkin
as_sample_13	AirSkin
as_sample_14	AirSkin
as_sample_15	AirSkin
as_sample_16	AirSkin
as_sample_17	AirSkin
as_sample_18	AirSkin
as_sample_19	AirSkin
as_sample_1	AirSkin
as_sample_20	AirSkin
as_sample_2	AirSkin
as_sample_3	AirSkin
as_sample_4	AirSkin
as_sample_5	AirSkin
as_sample_6	AirSkin
as_sample_7	AirSkin
as_sample_8	AirSkin
as_sample_9	AirSkin
hg_sample_0	HumanGut
hg_sample_10	HumanGut
hg_sample_11	HumanGut
hg_sample_12	HumanGut
hg_sample_13	HumanGut
hg_sample_14	HumanGut
hg_sample_15	HumanGut
hg_sample_16	HumanGut
hg_sample_17	HumanGut
hg_sample_18	HumanGut
hg_sample_19	HumanGut
hg_sample_1	HumanGut
hg_sample_2	HumanGut
hg_sample_3	HumanGut
hg_sample_4	HumanGut
hg_sample_5	HumanGut
hg_sample_6	HumanGut
hg_sample_7	HumanGut
hg_sample_8	HumanGut
hg_sample_9	HumanGut
mg_sample_10	MouseGut
mg_sample_11	MouseGut
mg_sample_12	MouseGut
mg_sample_13	MouseGut
mg_sample_14	MouseGut
mg_sample_15	MouseGut
mg_sample_16	MouseGut
mg_sample_17	MouseGut
mg_sample_18	MouseGut
mg_sample_19	MouseGut
mg_sample_1	MouseGut
mg_sample_20	MouseGut
mg_sample_21	MouseGut
mg_sample_22	MouseGut
mg_sample_2	MouseGut
mg_sample_5	MouseGut
mg_sample_6	MouseGut
mg_sample_7	MouseGut
mg_sample_8	MouseGut
mg_sample_9	MouseGut
m_sample_0	Marine
m_sample_1	Marine
m_sample_2	Marine
m_sample_3	Marine
m_sample_4	Marine
m_sample_5	Marine
m_sample_6	Marine
m_sample_7	Marine
m_sample_8	Marine
m_sample_9	Marine
p_sample_0	Plant
p_sample_10	Plant
p_sample_11	Plant
p_sample_12	Plant
p_sample_13	Plant
p_sample_14	Plant
p_sample_15	Plant
p_sample_16	Plant
p_sample_17	Plant
p_sample_18	Plant
p_sample_19	Plant
p_sample_1	Plant
p_sample_2	Plant
p_sample_3	Plant
p_sample_4	Plant
p_sample_5	Plant
p_sample_6	Plant
p_sample_7	Plant
p_sample_8	Plant
p_sample_9	Plant
s_sample_10	Strain
s_sample_11	Strain
s_sample_12	Strain
s_sample_13	Strain
s_sample_14	Strain
s_sample_15	Strain
s_sample_16	Strain
s_sample_17	Strain
s_sample_18	Strain
s_sample_19	Strain
s_sample_20	Strain
s_sample_21	Strain
s_sample_22	Strain
s_sample_23	Strain
s_sample_24	Strain
s_sample_25	Strain
s_sample_26	Strain
s_sample_27	Strain
s_sample_28	Strain
s_sample_29	Strain
