BinID	Completeness	Contamination	Stage
bin.1	76.93	3.63	Init
bin.1	81.49	18.23	ReAss
bin.1	83.83	5.24	ReBin
bin.1	82.03	2.43	ReFine
bin.4	78.06	2.74	Init
bin.4	89.43	2.72	ReAss
bin.4	87.72	3.13	ReBin
bin.4	80.7	0.92	ReFine
bin.5	85.88	2.58	Init
bin.5	95.99	10.66	ReAss
bin.5	89.72	0.02	ReBin
bin.8	81.59	3.65	Init
bin.8	89.87	11.87	ReAss
bin.8	87.74	2.86	ReBin
bin.10	88.1	3.38	Init
bin.10	91.73	3.6	ReAss
bin.13	94.31	5.77	Init
bin.13	95.43	9.18	ReAss
bin.13	95.65	5.69	ReBin
bin.20	83.41	5.01	Init
bin.20	86.77	12.68	ReAss
bin.20	84.2	4.85	ReBin
bin.29	80.37	3.45	Init
bin.29	91.21	6.94	ReAss
bin.29	85.6	2.64	ReBin
bin.36	55.44	2.0	Init
bin.36	59.66	1.71	ReAss
bin.48	86.98	4.11	Init
bin.48	98.96	6.88	ReAss
bin.48	91.01	2.26	ReBin
bin.53	74.65	0.62	Init
bin.53	77.03	0.02	ReAss
bin.53	72.5	0.0	ReBin
bin.53	72.19	0.0	ReFine
bin.59	89.04	1.65	Init
bin.59	94.8	0.55	ReAss
bin.69	96.33	6.74	Init
bin.69	97.92	7.33	ReAss
bin.69	97.7	5.76	ReBin
bin.70	85.45	6.84	Init
bin.70	87.36	9.79	ReAss
bin.70	79.85	5.3	ReBin
bin.70	73.58	1.79	ReFine
bin.73	77.11	2.17	Init
bin.73	86.44	7.74	ReAss
bin.73	82.06	1.0	ReBin
bin.75	96.16	6.4	Init
bin.75	100.0	36.3	ReAss
bin.75	95.66	0.35	ReBin
bin.75	94.98	0.05	ReFine
bin.78	99.96	8.82	Init
bin.78	100.0	28.68	ReAss
bin.78	24.32	0.79	ReBin
bin.86	99.99	6.2	Init
bin.86	100.0	36.2	ReAss
bin.86	53.45	0.21	ReBin
bin.86	70.42	0.09	ReFine
bin.87	74.52	1.19	Init
bin.87	65.38	1.07	ReAss
bin.87	67.54	1.52	ReBin
bin.87	66.12	0.1	ReFine
bin.88	69.82	1.47	Init
bin.88	79.32	1.82	ReAss
bin.88	79.46	1.67	ReBin
bin.88	79.97	1.64	ReFine
bin.90	89.24	4.2	Init
bin.90	100.0	21.42	ReAss
bin.90	76.99	5.89	ReBin
bin.90	75.29	0.29	ReFine
bin.91	69.36	3.14	Init
bin.91	73.87	2.97	ReAss
bin.91	67.71	0.63	ReBin
bin.91	67.82	0.48	ReFine
bin.93	90.06	8.05	Init
bin.93	94.55	21.52	ReAss
bin.93	93.05	3.78	ReBin
bin.94	78.35	3.39	Init
bin.94	96.0	29.15	ReAss
bin.94	84.29	2.0	ReBin
bin.97	89.43	2.4	Init
bin.97	92.72	4.51	ReAss
bin.101	87.6	0.0	Init
bin.101	100.0	17.36	ReAss
bin.101	48.86	0.46	ReBin
bin.107	82.69	3.01	Init
bin.107	80.8	5.42	ReAss
bin.107	78.06	5.73	ReBin
bin.107	78.01	4.19	ReFine
bin.112	88.04	2.57	Init
bin.112	94.22	2.16	ReAss
bin.114	77.33	0.73	Init
bin.114	76.35	1.48	ReAss
bin.114	75.9	1.1	ReBin
bin.114	75.9	1.1	ReFine
bin.122	89.27	0.84	Init
bin.122	95.99	15.09	ReAss
bin.122	82.12	0.16	ReBin
bin.122	82.18	0.13	ReFine
bin.123	90.89	6.75	Init
bin.123	97.99	14.18	ReAss
bin.123	95.81	11.78	ReBin
bin.123	59.91	1.32	ReFine
bin.132	61.96	2.37	Init
bin.132	55.06	13.6	ReAss
bin.133	73.03	1.0	Init
bin.133	79.22	2.66	ReAss
bin.133	70.42	1.53	ReBin
bin.133	70.9	0.23	ReFine
bin.142	74.14	0.78	Init
bin.142	73.77	1.16	ReAss
bin.142	73.99	1.54	ReBin
bin.142	73.99	1.54	ReFine
bin.150	81.68	4.48	Init
bin.150	94.34	13.12	ReAss
bin.151	87.8	1.93	Init
bin.151	98.48	14.27	ReAss
bin.151	98.5	4.19	ReBin
bin.151	97.62	1.09	ReFine
bin.153	73.54	1.5	Init
bin.153	86.26	18.28	ReAss
bin.166	80.5	4.16	Init
bin.166	96.09	70.93	ReAss
bin.166	99.59	4.58	ReBin
bin.166	99.43	0.81	ReFine
bin.167	84.88	2.86	Init
bin.167	98.51	20.67	ReAss
bin.169	63.12	0.26	Init
bin.169	99.73	0.38	ReAss
bin.171	84.59	3.33	Init
bin.171	99.7	13.43	ReAss
bin.171	100.0	5.41	ReBin
bin.171	97.85	0.1	ReFine
bin.172	88.43	0.48	Init
bin.172	90.53	5.51	ReAss
bin.172	92.31	0.63	ReBin
bin.172	92.31	0.63	ReFine
bin.176	56.46	0.34	Init
bin.176	98.57	17.47	ReAss
bin.176	55.74	0.63	ReBin
bin.176	55.64	0.52	ReFine
bin.178	84.4	0.82	Init
bin.178	98.5	7.36	ReAss
bin.178	32.32	0.0	ReBin
bin.183	84.87	0.21	Init
bin.183	99.99	6.39	ReAss
bin.183	89.67	0.22	ReBin
bin.183	89.67	0.22	ReFine
bin.186	66.73	2.05	Init
bin.186	100.0	38.54	ReAss
bin.192	71.73	0.79	Init
bin.192	98.16	22.29	ReAss
bin.192	99.22	10.58	ReBin
bin.192	95.02	0.28	ReFine
bin.196	56.8	0.58	Init
bin.196	100.0	40.45	ReAss
bin.196	84.56	0.4	ReBin
bin.197	88.1	0.03	Init
bin.197	100.0	15.21	ReAss
bin.197	95.34	0.01	ReBin
bin.198	88.97	7.82	Init
bin.198	93.91	49.8	ReAss
bin.198	84.84	2.35	ReBin
bin.198	77.94	0.64	ReFine
bin.200	85.53	1.4	Init
bin.200	96.56	14.76	ReAss
bin.200	90.54	1.21	ReBin
bin.206	83.48	0.11	Init
bin.206	97.6	0.17	ReAss
bin.208	70.84	0.77	Init
bin.208	77.25	1.54	ReAss
bin.208	78.05	1.55	ReBin
bin.208	77.48	1.43	ReFine
bin.212	88.12	0.42	Init
bin.212	99.21	0.6	ReAss
bin.219	82.48	3.69	Init
bin.219	98.65	38.4	ReAss
bin.219	50.48	0.55	ReBin
bin.219	50.48	0.55	ReFine
bin.222	78.59	0.75	Init
bin.222	94.92	15.11	ReAss
bin.222	98.84	0.79	ReBin
bin.222	98.84	0.79	ReFine
bin.225	85.34	0.06	Init
bin.225	99.68	0.02	ReAss
bin.226	84.72	0.21	Init
bin.226	99.51	27.28	ReAss
bin.226	99.89	1.25	ReBin
bin.226	99.83	0.05	ReFine
bin.227	86.51	3.6	Init
bin.227	98.5	19.15	ReAss
bin.232	87.11	0.76	Init
bin.232	99.42	10.49	ReAss
bin.232	86.94	2.64	ReBin
bin.232	82.74	0.72	ReFine
bin.235	86.95	3.23	Init
bin.235	91.12	2.39	ReAss
bin.240	85.77	0.48	Init
bin.240	96.48	7.52	ReAss
bin.240	97.09	1.01	ReBin
bin.240	95.51	0.23	ReFine
bin.246	77.98	1.05	Init
bin.246	88.84	80.44	ReAss
bin.246	84.82	1.31	ReBin
bin.246	82.52	0.19	ReFine
bin.248	82.93	1.96	Init
bin.248	82.59	0.89	ReAss
bin.248	85.25	0.26	ReBin
bin.249	89.63	1.77	Init
bin.249	99.76	0.49	ReAss
bin.254	79.56	4.33	Init
bin.254	91.09	5.32	ReAss
bin.254	91.91	4.0	ReBin
bin.258	87.65	0.46	Init
bin.258	86.8	0.53	ReAss
bin.258	88.11	0.36	ReBin
bin.260	74.91	4.78	Init
bin.260	89.28	14.47	ReAss
bin.263	80.97	2.52	Init
bin.263	100.0	43.69	ReAss
bin.263	68.71	0.52	ReBin
bin.263	69.05	0.18	ReFine
bin.265	77.83	0.66	Init
bin.265	86.96	26.39	ReAss
bin.265	82.99	0.36	ReBin
bin.268	85.12	3.66	Init
bin.268	92.11	4.02	ReAss
bin.271	87.43	2.2	Init
bin.271	89.04	1.89	ReAss
bin.271	89.33	0.74	ReBin
bin.272	57.77	0.5	Init
bin.272	74.48	1.5	ReAss
bin.272	75.07	1.61	ReBin
bin.272	74.96	0.56	ReFine
bin.274	88.2	1.95	Init
bin.274	99.95	40.79	ReAss
bin.274	94.94	2.53	ReBin
