BinID	Completeness	Contamination	Level	Method
bin.1	82.03	2.43	MQ	Single
bin.4	80.7	0.92	MQ	Single
bin.5	89.72	0.02	MQ	Single
bin.8	87.74	2.86	MQ	Single
bin.10	91.73	3.6	HQ	Single
bin.13	95.65	5.69	MQ	Single
bin.20	84.2	4.85	MQ	Single
bin.29	85.6	2.64	MQ	Single
bin.36	59.66	1.71	MQ	Single
bin.48	91.01	2.26	HQ	Single
bin.53	72.19	0.0	MQ	Single
bin.59	94.8	0.55	HQ	Single
bin.69	97.7	5.76	MQ	Single
bin.70	73.58	1.79	MQ	Single
bin.73	82.06	1.0	MQ	Single
bin.75	94.98	0.05	HQ	Single
bin.78	24.32	0.79	LQ	Single
bin.86	70.42	0.09	MQ	Single
bin.87	66.12	0.1	MQ	Single
bin.88	79.97	1.64	MQ	Single
bin.90	75.29	0.29	MQ	Single
bin.91	67.82	0.48	MQ	Single
bin.93	93.05	3.78	HQ	Single
bin.94	84.29	2.0	MQ	Single
bin.97	92.72	4.51	HQ	Single
bin.101	48.86	0.46	LQ	Single
bin.107	78.01	4.19	MQ	Single
bin.112	94.22	2.16	HQ	Single
bin.114	75.9	1.1	MQ	Single
bin.122	82.18	0.13	MQ	Single
bin.123	59.91	1.32	MQ	Single
bin.132	55.06	13.6	LQ	Single
bin.133	70.9	0.23	MQ	Single
bin.142	73.99	1.54	MQ	Single
bin.150	94.34	13.12	LQ	Single
bin.151	97.62	1.09	HQ	Single
bin.153	86.26	18.28	LQ	Single
bin.166	99.43	0.81	HQ	Single
bin.167	98.51	20.67	LQ	Single
bin.169	99.73	0.38	HQ	Single
bin.171	97.85	0.1	HQ	Single
bin.172	92.31	0.63	HQ	Single
bin.176	55.64	0.52	MQ	Single
bin.178	32.32	0.0	LQ	Single
bin.183	89.67	0.22	MQ	Single
bin.186	100.0	38.54	LQ	Single
bin.192	95.02	0.28	HQ	Single
bin.196	84.56	0.4	MQ	Single
bin.197	95.34	0.01	HQ	Single
bin.198	77.94	0.64	MQ	Single
bin.200	90.54	1.21	HQ	Single
bin.206	97.6	0.17	HQ	Single
bin.208	77.48	1.43	MQ	Single
bin.212	99.21	0.6	HQ	Single
bin.219	50.48	0.55	MQ	Single
bin.222	98.84	0.79	HQ	Single
bin.225	99.68	0.02	HQ	Single
bin.226	99.83	0.05	HQ	Single
bin.227	98.5	19.15	LQ	Single
bin.232	82.74	0.72	MQ	Single
bin.235	91.12	2.39	HQ	Single
bin.240	95.51	0.23	HQ	Single
bin.246	82.52	0.19	MQ	Single
bin.248	85.25	0.26	MQ	Single
bin.249	99.76	0.49	HQ	Single
bin.254	91.91	4.0	HQ	Single
bin.258	88.11	0.36	MQ	Single
bin.260	89.28	14.47	LQ	Single
bin.263	69.05	0.18	MQ	Single
bin.265	82.99	0.36	MQ	Single
bin.268	92.11	4.02	HQ	Single
bin.271	89.33	0.74	MQ	Single
bin.272	74.96	0.56	MQ	Single
bin.274	92.12	0.16	HQ	Single
bin.276	58.26	4.08	MQ	Single
bin.284	86.82	0.37	MQ	Single
bin.285	64.02	0.57	MQ	Single
bin.286	87.06	2.66	MQ	Single
bin.287	97.96	3.11	HQ	Single
bin.289	96.77	4.4	HQ	Single
bin.290	99.99	2.38	HQ	Single
bin.293	84.51	0.26	MQ	Single
bin.294	91.76	0.03	HQ	Single
bin.297	99.94	2.23	HQ	Single
bin.298	75.9	8.4	MQ	Single
bin.299	84.51	4.0	MQ	Single
bin.302	87.74	0.79	MQ	Single
bin.304	89.71	0.83	MQ	Single
bin.305	99.83	1.02	HQ	Single
bin.308	91.28	1.64	HQ	Single
bin.310	83.34	0.17	MQ	Single
bin.311	92.3	2.14	HQ	Single
bin.316	94.31	4.46	HQ	Single
bin.323	94.21	2.03	HQ	Single
bin.324	83.26	2.06	MQ	Single
bin.328	90.51	0.12	HQ	Single
bin.331	67.43	2.75	MQ	Single
bin.332	98.28	5.64	MQ	Single
bin.333	91.17	2.37	HQ	Single
bin.339	99.75	0.16	HQ	Single
bin.340	98.59	2.11	HQ	Single
bin.343	73.53	9.06	MQ	Single
bin.347	60.7	2.53	MQ	Single
bin.348	58.72	1.75	MQ	Single
bin.349	96.74	0.59	HQ	Single
bin.350	34.64	0.26	LQ	Single
bin.353	92.02	1.29	HQ	Single
bin.354	96.0	28.96	LQ	Single
bin.357	97.65	0.06	HQ	Single
bin.359	82.91	1.2	MQ	Single
bin.364	88.79	59.3	LQ	Single
bin.1	84.44	0.2	MQ	Co_Ass
bin.4	94.3	2.65	HQ	Co_Ass
bin.5	93.79	26.67	LQ	Co_Ass
bin.8	99.68	2.54	HQ	Co_Ass
bin.10	80.16	6.63	MQ	Co_Ass
bin.13	95.56	3.17	HQ	Co_Ass
bin.20	97.46	47.61	LQ	Co_Ass
bin.29	94.85	55.2	LQ	Co_Ass
bin.36	59.66	1.71	MQ	Co_Ass
bin.48	92.56	3.37	HQ	Co_Ass
bin.53	72.19	0.0	MQ	Co_Ass
bin.59	96.66	0.03	HQ	Co_Ass
bin.69	99.17	4.17	HQ	Co_Ass
bin.70	85.78	5.22	MQ	Co_Ass
bin.73	98.16	0.63	HQ	Co_Ass
bin.75	100.0	71.55	LQ	Co_Ass
bin.78	58.53	0.11	MQ	Co_Ass
bin.86	99.99	6.2	MQ	Co_Ass
bin.87	43.5	2.74	LQ	Co_Ass
bin.88	98.68	0.51	HQ	Co_Ass
bin.90	84.12	1.17	MQ	Co_Ass
bin.91	63.18	0.61	MQ	Co_Ass
bin.93	91.08	62.23	LQ	Co_Ass
bin.94	92.93	1.65	HQ	Co_Ass
bin.97	91.13	5.99	MQ	Co_Ass
bin.101	99.57	0.15	HQ	Co_Ass
bin.107	62.33	1.34	MQ	Co_Ass
bin.112	94.22	2.16	HQ	Co_Ass
bin.114	76.34	0.58	MQ	Co_Ass
bin.122	48.52	0.83	LQ	Co_Ass
bin.123	100.0	87.01	LQ	Co_Ass
bin.132	41.6	30.78	LQ	Co_Ass
bin.133	96.81	1.87	HQ	Co_Ass
bin.142	74.68	1.51	MQ	Co_Ass
bin.150	91.66	0.36	HQ	Co_Ass
bin.151	87.8	1.93	MQ	Co_Ass
bin.153	85.27	23.09	LQ	Co_Ass
bin.166	38.9	0.0	LQ	Co_Ass
bin.167	84.88	2.86	MQ	Co_Ass
bin.169	46.82	14.92	LQ	Co_Ass
bin.171	86.68	0.91	MQ	Co_Ass
bin.172	87.83	47.98	LQ	Co_Ass
bin.176	100.0	76.14	LQ	Co_Ass
bin.178	93.24	3.03	HQ	Co_Ass
bin.183	84.89	0.09	MQ	Co_Ass
bin.186	93.66	1.73	HQ	Co_Ass
bin.192	89.85	0.05	MQ	Co_Ass
bin.196	56.8	0.58	MQ	Co_Ass
bin.197	88.92	0.2	MQ	Co_Ass
bin.198	93.54	98.09	LQ	Co_Ass
bin.200	53.02	4.79	MQ	Co_Ass
bin.206	94.53	3.7	HQ	Co_Ass
bin.208	86.73	0.31	MQ	Co_Ass
bin.212	99.23	2.02	HQ	Co_Ass
bin.219	96.09	76.76	LQ	Co_Ass
bin.222	52.27	4.28	MQ	Co_Ass
bin.225	99.87	1.61	HQ	Co_Ass
bin.226	84.72	0.21	MQ	Co_Ass
bin.227	86.51	3.6	MQ	Co_Ass
bin.232	98.56	81.09	LQ	Co_Ass
bin.235	91.12	2.39	HQ	Co_Ass
bin.240	85.77	0.48	MQ	Co_Ass
bin.246	77.98	1.05	MQ	Co_Ass
bin.248	85.25	0.26	MQ	Co_Ass
bin.249	53.62	11.33	LQ	Co_Ass
bin.254	92.2	3.96	HQ	Co_Ass
bin.258	67.93	0.49	MQ	Co_Ass
bin.260	91.27	41.36	LQ	Co_Ass
bin.263	91.06	0.28	HQ	Co_Ass
bin.265	90.27	21.28	LQ	Co_Ass
bin.268	99.26	0.16	HQ	Co_Ass
bin.271	89.33	0.74	MQ	Co_Ass
bin.272	74.96	0.56	MQ	Co_Ass
bin.274	96.53	63.06	LQ	Co_Ass
bin.276	63.16	12.96	LQ	Co_Ass
bin.284	86.82	0.37	MQ	Co_Ass
bin.285	55.48	29.19	LQ	Co_Ass
bin.286	99.69	0.17	HQ	Co_Ass
bin.287	97.65	1.54	HQ	Co_Ass
bin.289	96.31	11.56	LQ	Co_Ass
bin.290	73.21	0.36	MQ	Co_Ass
bin.293	25.04	2.91	LQ	Co_Ass
bin.294	97.92	56.21	LQ	Co_Ass
bin.297	83.62	0.06	MQ	Co_Ass
bin.298	78.44	13.03	LQ	Co_Ass
bin.299	75.19	11.2	LQ	Co_Ass
bin.302	100.0	1.45	HQ	Co_Ass
bin.304	45.57	0.19	LQ	Co_Ass
bin.305	73.57	0.29	MQ	Co_Ass
bin.308	58.19	0.73	MQ	Co_Ass
bin.310	92.61	85.71	LQ	Co_Ass
bin.311	76.74	1.48	MQ	Co_Ass
bin.316	80.99	2.8	MQ	Co_Ass
bin.323	87.41	7.49	MQ	Co_Ass
bin.324	83.26	2.06	MQ	Co_Ass
bin.328	96.28	1.5	HQ	Co_Ass
bin.331	64.99	3.52	MQ	Co_Ass
bin.332	98.45	8.73	MQ	Co_Ass
bin.333	94.0	1.84	HQ	Co_Ass
bin.339	82.45	1.6	MQ	Co_Ass
bin.340	24.48	0.01	LQ	Co_Ass
bin.343	88.19	1.2	MQ	Co_Ass
bin.347	77.07	1.62	MQ	Co_Ass
bin.348	89.02	2.59	MQ	Co_Ass
bin.349	97.04	1.02	HQ	Co_Ass
bin.350	32.93	0.1	LQ	Co_Ass
bin.353	93.22	2.18	HQ	Co_Ass
bin.354	89.38	6.0	MQ	Co_Ass
bin.357	80.19	0.16	MQ	Co_Ass
bin.359	98.92	0.41	HQ	Co_Ass
bin.364	57.4	0.19	MQ	Co_Ass
bin.1	76.93	3.63	MQ	Init
bin.4	78.06	2.74	MQ	Init
bin.5	85.88	2.58	MQ	Init
bin.8	81.59	3.65	MQ	Init
bin.10	88.1	3.38	MQ	Init
bin.13	94.31	5.77	MQ	Init
bin.20	83.41	5.01	MQ	Init
bin.29	80.37	3.45	MQ	Init
bin.36	55.44	2.0	MQ	Init
bin.48	86.98	4.11	MQ	Init
bin.53	74.65	0.62	MQ	Init
bin.59	89.04	1.65	MQ	Init
bin.69	96.33	6.74	MQ	Init
bin.70	85.45	6.84	MQ	Init
bin.73	77.11	2.17	MQ	Init
bin.75	96.16	6.4	MQ	Init
bin.78	99.96	8.82	MQ	Init
bin.86	99.99	6.2	MQ	Init
bin.87	74.52	1.19	MQ	Init
bin.88	69.82	1.47	MQ	Init
bin.90	89.24	4.2	MQ	Init
bin.91	69.36	3.14	MQ	Init
bin.93	90.06	8.05	MQ	Init
bin.94	78.35	3.39	MQ	Init
bin.97	89.43	2.4	MQ	Init
bin.101	87.6	0.0	MQ	Init
bin.107	82.69	3.01	MQ	Init
bin.112	88.04	2.57	MQ	Init
bin.114	77.33	0.73	MQ	Init
bin.122	89.27	0.84	MQ	Init
bin.123	90.89	6.75	MQ	Init
bin.132	61.96	2.37	MQ	Init
bin.133	73.03	1.0	MQ	Init
bin.142	74.14	0.78	MQ	Init
bin.150	81.68	4.48	MQ	Init
bin.151	87.8	1.93	MQ	Init
bin.153	73.54	1.5	MQ	Init
bin.166	80.5	4.16	MQ	Init
bin.167	84.88	2.86	MQ	Init
bin.169	63.12	0.26	MQ	Init
bin.171	84.59	3.33	MQ	Init
bin.172	88.43	0.48	MQ	Init
bin.176	56.46	0.34	MQ	Init
bin.178	84.4	0.82	MQ	Init
bin.183	84.87	0.21	MQ	Init
bin.186	66.73	2.05	MQ	Init
bin.192	71.73	0.79	MQ	Init
bin.196	56.8	0.58	MQ	Init
bin.197	88.1	0.03	MQ	Init
bin.198	88.97	7.82	MQ	Init
bin.200	85.53	1.4	MQ	Init
bin.206	83.48	0.11	MQ	Init
bin.208	70.84	0.77	MQ	Init
bin.212	88.12	0.42	MQ	Init
bin.219	82.48	3.69	MQ	Init
bin.222	78.59	0.75	MQ	Init
bin.225	85.34	0.06	MQ	Init
bin.226	84.72	0.21	MQ	Init
bin.227	86.51	3.6	MQ	Init
bin.232	87.11	0.76	MQ	Init
bin.235	86.95	3.23	MQ	Init
bin.240	85.77	0.48	MQ	Init
bin.246	77.98	1.05	MQ	Init
bin.248	82.93	1.96	MQ	Init
bin.249	89.63	1.77	MQ	Init
bin.254	79.56	4.33	MQ	Init
bin.258	87.65	0.46	MQ	Init
bin.260	74.91	4.78	MQ	Init
bin.263	80.97	2.52	MQ	Init
bin.265	77.83	0.66	MQ	Init
bin.268	85.12	3.66	MQ	Init
bin.271	87.43	2.2	MQ	Init
bin.272	57.77	0.5	MQ	Init
bin.274	88.2	1.95	MQ	Init
bin.276	58.6	2.24	MQ	Init
bin.284	84.35	2.5	MQ	Init
bin.285	75.58	4.22	MQ	Init
bin.286	75.15	3.49	MQ	Init
bin.287	88.14	5.52	MQ	Init
bin.289	87.81	0.38	MQ	Init
bin.290	88.49	2.24	MQ	Init
bin.293	91.22	5.59	MQ	Init
bin.294	89.39	0.06	MQ	Init
bin.297	89.53	0.79	MQ	Init
bin.298	80.19	6.96	MQ	Init
bin.299	76.75	5.31	MQ	Init
bin.302	75.44	1.21	MQ	Init
bin.304	89.16	4.37	MQ	Init
bin.305	73.57	0.29	MQ	Init
bin.308	86.96	1.92	MQ	Init
bin.310	96.92	6.5	MQ	Init
bin.311	76.74	1.48	MQ	Init
