BinID	Completeness	Contamination	Stage
bin.1	76.93	3.63	Init
bin.1	93.94	45.36	ReAss
bin.1	84.44	0.2	ReBin
bin.4	78.06	2.74	Init
bin.4	94.3	2.65	ReAss
bin.5	85.88	2.58	Init
bin.5	93.79	26.67	ReAss
bin.8	81.59	3.65	Init
bin.8	99.07	31.31	ReAss
bin.8	99.68	2.54	ReBin
bin.10	88.1	3.38	Init
bin.10	85.95	18.6	ReAss
bin.10	81.52	6.65	ReBin
bin.10	80.16	6.63	ReFine
bin.13	94.31	5.77	Init
bin.13	95.56	3.17	ReAss
bin.20	83.41	5.01	Init
bin.20	97.46	47.61	ReAss
bin.29	80.37	3.45	Init
bin.29	94.85	55.2	ReAss
bin.36	55.44	2.0	Init
bin.36	59.66	1.71	ReAss
bin.48	86.98	4.11	Init
bin.48	99.45	10.26	ReAss
bin.48	92.56	3.37	ReBin
bin.53	74.65	0.62	Init
bin.53	77.03	0.02	ReAss
bin.53	72.5	0.0	ReBin
bin.53	72.19	0.0	ReFine
bin.59	89.04	1.65	Init
bin.59	100.0	11.07	ReAss
bin.59	96.66	0.03	ReBin
bin.69	96.33	6.74	Init
bin.69	98.3	9.66	ReAss
bin.69	99.17	4.17	ReBin
bin.70	85.45	6.84	Init
bin.70	92.16	13.39	ReAss
bin.70	85.78	5.22	ReBin
bin.73	77.11	2.17	Init
bin.73	96.97	7.46	ReAss
bin.73	98.16	0.63	ReBin
bin.75	96.16	6.4	Init
bin.75	100.0	71.55	ReAss
bin.78	99.96	8.82	Init
bin.78	100.0	55.46	ReAss
bin.78	58.42	0.11	ReBin
bin.78	58.53	0.11	ReFine
bin.86	99.99	6.2	Init
bin.87	74.52	1.19	Init
bin.87	43.5	2.74	ReAss
bin.88	69.82	1.47	Init
bin.88	98.07	6.21	ReAss
bin.88	98.68	0.51	ReBin
bin.90	89.24	4.2	Init
bin.90	98.49	81.51	ReAss
bin.90	84.12	1.17	ReBin
bin.90	84.12	1.17	ReFine
bin.91	69.36	3.14	Init
bin.91	75.89	3.97	ReAss
bin.91	63.07	0.91	ReBin
bin.91	63.18	0.61	ReFine
bin.93	90.06	8.05	Init
bin.93	91.08	62.23	ReAss
bin.94	78.35	3.39	Init
bin.94	99.39	49.96	ReAss
bin.94	92.93	1.65	ReBin
bin.97	89.43	2.4	Init
bin.97	91.13	5.99	ReAss
bin.101	87.6	0.0	Init
bin.101	99.67	29.9	ReAss
bin.101	99.57	0.15	ReBin
bin.101	99.57	0.15	ReFine
bin.107	82.69	3.01	Init
bin.107	78.37	41.13	ReAss
bin.107	63.86	7.1	ReBin
bin.107	62.33	1.34	ReFine
bin.112	88.04	2.57	Init
bin.112	94.22	2.16	ReAss
bin.114	77.33	0.73	Init
bin.114	73.86	3.21	ReAss
bin.114	76.34	0.58	ReBin
bin.114	76.34	0.58	ReFine
bin.122	89.27	0.84	Init
bin.122	98.16	55.67	ReAss
bin.122	48.52	0.83	ReBin
bin.123	90.89	6.75	Init
bin.123	100.0	87.01	ReAss
bin.132	61.96	2.37	Init
bin.132	41.6	30.78	ReAss
bin.133	73.03	1.0	Init
bin.133	96.81	1.87	ReAss
bin.142	74.14	0.78	Init
bin.142	75.39	2.6	ReAss
bin.142	74.68	1.51	ReBin
bin.142	74.68	1.51	ReFine
bin.150	81.68	4.48	Init
bin.150	98.53	19.28	ReAss
bin.150	91.66	0.36	ReBin
bin.151	87.8	1.93	Init
bin.153	73.54	1.5	Init
bin.153	85.27	23.09	ReAss
bin.166	80.5	4.16	Init
bin.166	91.08	84.28	ReAss
bin.166	38.9	0.0	ReBin
bin.167	84.88	2.86	Init
bin.169	63.12	0.26	Init
bin.169	97.71	48.82	ReAss
bin.169	46.82	14.92	ReBin
bin.171	84.59	3.33	Init
bin.171	99.31	44.42	ReAss
bin.171	86.68	0.91	ReBin
bin.172	88.43	0.48	Init
bin.172	87.83	47.98	ReAss
bin.176	56.46	0.34	Init
bin.176	100.0	76.14	ReAss
bin.178	84.4	0.82	Init
bin.178	98.57	22.21	ReAss
bin.178	93.24	3.03	ReBin
bin.178	93.24	3.03	ReFine
bin.183	84.87	0.21	Init
bin.183	99.94	24.82	ReAss
bin.183	86.06	1.14	ReBin
bin.183	84.89	0.09	ReFine
bin.186	66.73	2.05	Init
bin.186	99.42	41.22	ReAss
bin.186	93.66	1.73	ReBin
bin.192	71.73	0.79	Init
bin.192	97.65	49.09	ReAss
bin.192	89.85	0.05	ReBin
bin.196	56.8	0.58	Init
bin.197	88.1	0.03	Init
bin.197	100.0	16.15	ReAss
bin.197	88.92	0.2	ReBin
bin.197	88.92	0.2	ReFine
bin.198	88.97	7.82	Init
