Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	sample_id	group	workflow
HMP_sample_0_bin.1	88.74	3.78	Neural Network (Specific Model)	11	0.86	19370	321.437125748503	2057317	0.63	1837	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.10	99.96	1.05	Neural Network (Specific Model)	11	0.895	1967075	350.7355223880597	1967075	0.64	1675	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.11	91.77	0.52	Neural Network (Specific Model)	11	0.865	33441	304.7511332728921	2326584	0.53	2206	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.12	61.13	4.28	Neural Network (Specific Model)	11	0.879	3627	251.50436681222703	1569486	0.36	1832	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.13	99.99	0.8	Neural Network (Specific Model)	11	0.815	3863446	298.5791418016482	3863446	0.28	3519	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.14	99.79	0.16	Neural Network (Specific Model)	11	0.859	2554355	325.0657142857143	3570789	0.63	3150	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.15	100.0	0.41	Neural Network (Specific Model)	11	0.899	5287944	312.7764636309876	5287944	0.65	5073	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.16	100.0	2.54	Neural Network (Specific Model)	11	0.875	905457	334.5511060259344	3002670	0.42	2622	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.17	53.35	3.39	Neural Network (Specific Model)	11	0.889	3870	275.2641148325359	1937911	0.58	2090	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.2	87.52	1.44	Neural Network (Specific Model)	11	0.915	28081	356.2480588475685	2853054	0.49	2447	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.3	100.0	0.02	Neural Network (Specific Model)	11	0.915	4490357	332.94054841057994	4490357	0.67	4121	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.4	96.08	1.96	Neural Network (Specific Model)	11	0.889	33395	335.65847598012147	4098569	0.43	3622	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.5	100.0	0.01	Neural Network (Specific Model)	11	0.901	3750766	359.76442460949954	3750766	0.54	3137	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.6	100.0	1.42	Neural Network (Specific Model)	11	0.882	3592119	325.4335793357933	3592119	0.48	3252	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.7	55.67	1.84	Neural Network (Specific Model)	11	0.866	4724	305.404	1584333	0.66	1500	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.8	50.28	0.0	Neural Network (Specific Model)	11	0.926	3396	281.97483523067706	1522911	0.4	1669	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_0_bin.9	54.49	1.42	Neural Network (Specific Model)	11	0.827	3452	250.30514285714287	1585881	0.45	1750	None	HMP_sample_0	HMP	MetaWRAP
HMP_sample_1_bin.1	99.49	1.5	Neural Network (Specific Model)	11	0.864	341814	305.6653696498054	3811101	0.31	3598	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.10	82.9	0.25	Neural Network (Specific Model)	11	0.877	6802	285.64129202871175	5165337	0.68	5294	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.11	90.94	0.96	Neural Network (Specific Model)	11	0.906	43087	297.3625037080985	3309691	0.63	3371	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.12	88.89	2.58	Neural Network (Specific Model)	11	0.91	7267	278.03475134811265	1526449	0.37	1669	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.13	100.0	0.29	Neural Network (Specific Model)	11	0.883	316626	351.80121792083514	2744973	0.56	2299	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.14	99.99	3.37	Neural Network (Specific Model)	11	0.886	184597	310.27274987568376	4219101	0.48	4022	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.15	99.92	0.33	Neural Network (Specific Model)	11	0.878	3541736	336.6399566865187	4242762	0.47	3694	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.16	72.99	2.25	Neural Network (Specific Model)	11	0.921	6996	304.4600760456274	2343506	0.4	2367	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.17	85.99	2.73	Neural Network (Specific Model)	11	0.874	7151	286.3428571428572	3054746	0.45	3115	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.18	72.18	0.65	Neural Network (Specific Model)	11	0.886	7203	301.073500967118	2631592	0.43	2585	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.19	100.0	1.61	Neural Network (Specific Model)	11	0.875	246404	332.75880551301685	2973710	0.42	2612	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.2	99.97	0.56	Neural Network (Specific Model)	11	0.849	4201315	306.4926640926641	4201315	0.35	3885	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.20	99.99	1.85	Neural Network (Specific Model)	11	0.887	5188945	363.4929044465469	5188945	0.43	4228	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.21	99.98	0.62	Neural Network (Specific Model)	11	0.898	6260357	382.47054026503565	6260357	0.43	4905	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.22	86.29	0.52	Neural Network (Specific Model)	11	0.896	287469	364.2674582979927	4306626	0.42	3537	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.3	78.24	1.74	Neural Network (Specific Model)	11	0.883	6394	309.7335740072202	1455399	0.61	1385	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.4	99.99	0.32	Neural Network (Specific Model)	11	0.911	2808896	355.07151767151765	2808896	0.37	2405	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.5	100.0	0.41	Neural Network (Specific Model)	11	0.899	5287947	312.73728813559325	5287947	0.65	5074	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.6	100.0	0.02	Neural Network (Specific Model)	11	0.915	4490369	332.88961669092674	4490369	0.67	4122	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.7	100.0	1.64	Neural Network (Specific Model)	11	0.844	441399	301.15437902028697	4321403	0.31	4042	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.8	73.42	0.71	Neural Network (Specific Model)	11	0.897	7899	321.08765757842275	3659003	0.41	3411	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_1_bin.9	99.97	2.84	Neural Network (Specific Model)	11	0.829	154626	323.2167026637869	4866899	0.35	4167	None	HMP_sample_1	HMP	MetaWRAP
HMP_sample_2_bin.1	88.65	1.53	Neural Network (Specific Model)	11	0.857	6263078	256.65037754665906	6263078	0.68	7019	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.10	77.51	1.51	Neural Network (Specific Model)	11	0.882	5858	287.25955204216075	2218703	0.42	2277	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.11	100.0	1.61	Neural Network (Specific Model)	11	0.84	2681660	316.2035096271021	4627728	0.29	4103	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.2	92.42	1.17	Neural Network (Specific Model)	11	0.909	18725	343.82755022175843	4340892	0.45	3833	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.3	99.98	0.78	Neural Network (Specific Model)	11	0.852	304796	326.9154244977317	3548784	0.39	3086	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.4	99.99	0.14	Neural Network (Specific Model)	11	0.834	3031422	315.9344814676151	3031422	0.29	2671	None	HMP_sample_2	HMP	MetaWRAP
